Instances,feature_ cheap.pattern.time,feature_ cheap.pattern.vertices,feature_ cheap.pattern.edges,feature_ cheap.pattern.loops,feature_ cheap.pattern.meandeg,feature_ cheap.pattern.maxdeg,feature_ cheap.pattern.degisfixed,feature_ cheap.pattern.density,feature_ cheap.target.time,feature_ cheap.target.vertices,feature_ cheap.target.edges,feature_ cheap.target.loops,feature_ cheap.target.meandeg,feature_ cheap.target.maxdeg,feature_ cheap.target.degisfixed,feature_ cheap.target.density,feature_ distance.pattern.time,feature_ distance.pattern.isconnected,feature_ distance.pattern.meandistance,feature_ distance.pattern.maxdistance,feature_ distance.pattern.proportiondistancege2,feature_ distance.pattern.proportiondistancege3,feature_ distance.pattern.proportiondistancege4,feature_ distance.target.time,feature_ distance.target.isconnected,feature_ distance.target.meandistance,feature_ distance.target.maxdistance,feature_ distance.target.proportiondistancege2,feature_ distance.target.proportiondistancege3,feature_ distance.target.proportiondistancege4,feature_ lad.values.removed,feature_ lad.values.removed.percent,feature_ lad.values.removed.min,feature_ lad.values.removed.max,feature_ lad.time,algo_lad,algo_supplementallad,algo_vf2,algo_glasgow1,algo_glasgow2,algo_glasgow3,algo_glasgow4
A.17,0.0,180.0,488.0,0.0,5.42222,8.0,0.0,0.030292,0.0,200.0,602.0,0.0,6.02,8.0,0.0,0.030251,2.0,1.0,3.2851,6.0,0.964321,0.833889,0.433889,3.0,1.0,3.16638,5.0,0.9649,0.82075,0.3602,16063.0,44.619444,0.0,98.0,0.0,24.0,8.0,15206.0,5.0,13.0,42.0,146.0
A.18,0.0,180.0,493.0,0.0,5.47778,8.0,0.0,0.030602,0.0,200.0,608.0,0.0,6.08,8.0,0.0,0.030553,2.0,1.0,3.26921,6.0,0.964012,0.831481,0.427593,3.0,1.0,3.1695,5.0,0.9646,0.8194,0.3649,16103.0,44.730556,0.0,95.0,0.0,15.0,10.0,2635.0,5.0,13.0,39.0,111.0
A.19,0.0,180.0,478.0,0.0,5.31111,8.0,0.0,0.029671,0.0,200.0,597.0,0.0,5.97,8.0,0.0,0.03,2.0,1.0,3.31248,5.0,0.964938,0.839506,0.453272,3.0,1.0,3.18698,5.0,0.96515,0.82395,0.37565,14945.0,41.513889,0.0,98.5,0.0,18.0,15.0,670.0,5.0,16.0,52.0,118.0
A.20,0.0,180.0,485.0,0.0,5.38889,8.0,0.0,0.030106,0.0,200.0,597.0,0.0,5.97,8.0,0.0,0.03,2.0,1.0,3.28386,6.0,0.964506,0.835309,0.437037,3.0,1.0,3.17608,5.0,0.96515,0.82355,0.36725,18024.0,50.066667,0.0,98.5,0.0,9.0,9.0,199610.0,6.0,12.0,34.0,99.0
B.01,0.0,540.0,1457.0,0.0,5.3963,8.0,0.0,0.010012,0.0,600.0,1796.0,0.0,5.98667,8.0,0.0,0.009994,26.0,1.0,3.99975,6.0,0.988155,0.942346,0.757353,34.0,1.0,3.84228,6.0,0.988356,0.938017,0.71755,155445.0,47.976852,0.0,99.666664,4.0,104.0,95.0,NaN,61.0,124.0,336.0,1019.0
B.02,0.0,540.0,1470.0,0.0,5.44444,8.0,0.0,0.010101,0.0,600.0,1815.0,0.0,6.05,8.0,0.0,0.0101,26.0,1.0,3.98947,7.0,0.988066,0.941968,0.755069,36.0,1.0,3.82897,6.0,0.98825,0.93705,0.7123,147424.0,45.501235,0.0,98.833336,3.0,217.0,90.0,NaN,61.0,130.0,330.0,1045.0
B.03,0.0,540.0,1471.0,0.0,5.44815,8.0,0.0,0.010108,0.0,600.0,1817.0,0.0,6.05667,8.0,0.0,0.010111,25.0,1.0,3.97607,7.0,0.988059,0.941639,0.752215,35.0,1.0,3.81531,6.0,0.988239,0.936767,0.708667,144572.0,44.620988,0.0,98.666664,4.0,187.0,92.0,NaN,62.0,138.0,360.0,1199.0
B.04,0.0,540.0,1448.0,0.0,5.36296,8.0,0.0,0.00995,0.0,600.0,1794.0,0.0,5.98,8.0,0.0,0.009983,25.0,1.0,4.01063,6.0,0.988217,0.94356,0.762016,34.0,1.0,3.84269,6.0,0.988367,0.938411,0.718122,134828.0,41.61358,0.0,99.833336,4.0,98.0,87.0,NaN,60.0,131.0,338.0,1061.0
B.05,0.0,540.0,1476.0,0.0,5.46667,8.0,0.0,0.010142,0.0,600.0,1805.0,0.0,6.01667,8.0,0.0,0.010045,25.0,1.0,3.97551,6.0,0.988025,0.941543,0.752627,34.0,1.0,3.84205,6.0,0.988306,0.937894,0.717311,155511.0,47.997222,0.0,99.333336,4.0,244.0,91.0,NaN,59.0,128.0,327.0,1016.0
B.06,0.0,540.0,1475.0,0.0,5.46296,8.0,0.0,0.010135,0.0,600.0,1808.0,0.0,6.02667,8.0,0.0,0.010061,25.0,1.0,3.96669,6.0,0.988032,0.941276,0.750103,35.0,1.0,3.82436,6.0,0.988289,0.937333,0.711828,153970.0,47.521605,0.0,99.666664,3.0,106.0,89.0,NaN,80.0,133.0,350.0,1047.0
B.07,0.0,540.0,1468.0,0.0,5.43704,8.0,0.0,0.010087,0.0,600.0,1816.0,0.0,6.05333,8.0,0.0,0.010106,26.0,1.0,3.97605,6.0,0.98808,0.941845,0.752469,35.0,1.0,3.81516,6.0,0.988244,0.936689,0.70815,141076.0,43.541975,0.0,98.833336,4.0,114.0,92.0,NaN,60.0,134.0,357.0,1151.0
B.08,0.0,540.0,1459.0,0.0,5.4037,8.0,0.0,0.010025,0.0,600.0,1791.0,0.0,5.97,8.0,0.0,0.009967,25.0,1.0,4.00175,6.0,0.988141,0.942579,0.758052,34.0,1.0,3.84997,6.0,0.988383,0.938544,0.72,154545.0,47.699074,0.0,99.0,3.0,108.0,83.0,NaN,63.0,126.0,320.0,1041.0
B.09,0.0,540.0,1448.0,0.0,5.36296,8.0,0.0,0.00995,0.0,600.0,1805.0,0.0,6.01667,8.0,0.0,0.010045,25.0,1.0,4.019,7.0,0.988217,0.943224,0.76216,34.0,1.0,3.83227,6.0,0.988306,0.937506,0.713483,138535.0,42.757716,0.0,99.0,3.0,193.0,96.0,NaN,60.0,135.0,348.0,1078.0
B.10,0.0,540.0,1484.0,0.0,5.4963,8.0,0.0,0.010197,0.0,600.0,1814.0,0.0,6.04667,8.0,0.0,0.010095,26.0,1.0,3.96149,6.0,0.98797,0.940844,0.747037,35.0,1.0,3.82125,6.0,0.988256,0.936939,0.709867,152158.0,46.962346,0.0,98.833336,4.0,112.0,111.0,NaN,89.0,168.0,341.0,1127.0
B.11,0.0,540.0,1466.0,0.0,5.42963,8.0,0.0,0.010074,0.0,600.0,1804.0,0.0,6.01333,8.0,0.0,0.010039,25.0,1.0,3.9876,6.0,0.988093,0.941975,0.755192,35.0,1.0,3.84008,6.0,0.988311,0.937689,0.716167,151907.0,46.884877,0.0,98.666664,3.0,339.0,138.0,NaN,59.0,128.0,339.0,1072.0
B.12,0.0,540.0,1454.0,0.0,5.38519,8.0,0.0,0.009991,0.0,600.0,1800.0,0.0,6.0,8.0,0.0,0.010017,24.0,1.0,3.99873,7.0,0.988176,0.942922,0.758649,35.0,1.0,3.82915,6.0,0.988333,0.937728,0.713506,138130.0,42.632716,0.0,99.5,3.0,141.0,143.0,NaN,60.0,133.0,348.0,1093.0
B.13,0.0,540.0,1461.0,0.0,5.41111,8.0,0.0,0.010039,0.0,600.0,1796.0,0.0,5.98667,8.0,0.0,0.009994,26.0,1.0,4.00245,7.0,0.988128,0.942503,0.75823,35.0,1.0,3.84549,6.0,0.988356,0.938228,0.718244,158268.0,48.848148,0.0,99.5,3.0,107.0,88.0,NaN,62.0,131.0,311.0,987.0
B.14,0.0,540.0,1466.0,0.0,5.42963,8.0,0.0,0.010074,0.0,600.0,1810.0,0.0,6.03333,8.0,0.0,0.010072,25.0,1.0,3.9832,7.0,0.988093,0.941893,0.752606,35.0,1.0,3.82239,6.0,0.988278,0.937028,0.710017,144441.0,44.580556,0.0,99.5,4.0,189.0,88.0,NaN,60.0,134.0,340.0,1096.0
B.15,0.0,540.0,1475.0,0.0,5.46296,8.0,0.0,0.010135,0.0,600.0,1813.0,0.0,6.04333,8.0,0.0,0.010089,26.0,1.0,3.97201,6.0,0.988032,0.941365,0.750405,35.0,1.0,3.82319,6.0,0.988261,0.937039,0.710833,150301.0,46.389198,0.0,99.5,4.0,107.0,87.0,NaN,59.0,128.0,335.0,1120.0
B.16,0.0,540.0,1466.0,0.0,5.42963,8.0,0.0,0.010074,0.0,600.0,1811.0,0.0,6.03667,8.0,0.0,0.010078,25.0,1.0,3.98981,6.0,0.988093,0.94216,0.755405,35.0,1.0,3.82628,6.0,0.988272,0.937,0.710644,142442.0,43.96358,0.0,98.666664,4.0,106.0,88.0,NaN,62.0,138.0,356.0,1166.0
B.17,0.0,540.0,1456.0,0.0,5.39259,8.0,0.0,0.010005,0.0,600.0,1811.0,0.0,6.03667,8.0,0.0,0.010078,25.0,1.0,4.00545,7.0,0.988162,0.942915,0.759897,35.0,1.0,3.82366,6.0,0.988272,0.937111,0.711339,137617.0,42.474383,0.0,99.666664,4.0,103.0,96.0,NaN,62.0,132.0,344.0,1120.0
B.18,0.0,540.0,1465.0,0.0,5.42593,8.0,0.0,0.010067,0.0,600.0,1801.0,0.0,6.00333,8.0,0.0,0.010022,26.0,1.0,3.9775,6.0,0.9881,0.941824,0.751982,34.0,1.0,3.83266,6.0,0.988328,0.937761,0.714433,155417.0,47.96821,0.0,99.333336,4.0,191.0,89.0,NaN,62.0,132.0,328.0,999.0
B.19,0.0,540.0,1483.0,0.0,5.49259,8.0,0.0,0.01019,0.0,600.0,1811.0,0.0,6.03667,8.0,0.0,0.010078,26.0,1.0,3.95378,6.0,0.987977,0.940617,0.745933,34.0,1.0,3.81868,6.0,0.988272,0.93695,0.709644,154627.0,47.724383,0.0,99.666664,4.0,175.0,84.0,NaN,59.0,127.0,352.0,1220.0
B.20,0.0,540.0,1455.0,0.0,5.38889,8.0,0.0,0.009998,0.0,600.0,1796.0,0.0,5.98667,8.0,0.0,0.009994,25.0,1.0,4.00007,6.0,0.988169,0.942853,0.758601,34.0,1.0,3.8405,6.0,0.988356,0.938094,0.716278,142253.0,43.905247,0.0,99.166664,3.0,112.0,115.0,NaN,60.0,136.0,345.0,1610.0
C.01,1.0,900.0,2451.0,0.0,5.44667,8.0,0.0,0.006059,1.0,1000.0,3000.0,0.0,6.0,8.0,0.0,0.006006,90.0,1.0,4.31084,7.0,0.992837,0.9648,0.843827,123.0,1.0,4.14997,6.0,0.993,0.962386,0.818458,423902.0,47.100222,0.0,98.400002,10.0,374.0,269.0,NaN,164.0,367.0,940.0,2908.0
C.02,1.0,900.0,2463.0,0.0,5.47333,8.0,0.0,0.006088,1.0,1000.0,3032.0,0.0,6.064,8.0,0.0,0.00607,89.0,1.0,4.29107,7.0,0.992807,0.964378,0.840644,122.0,1.0,4.12513,6.0,0.992936,0.961616,0.812844,418096.0,46.455111,0.0,98.5,11.0,287.0,279.0,NaN,167.0,441.0,979.0,3345.0
C.03,1.0,900.0,2440.0,0.0,5.42222,8.0,0.0,0.006031,1.0,1000.0,2991.0,0.0,5.982,8.0,0.0,0.005988,89.0,1.0,4.32655,7.0,0.992864,0.965128,0.846183,121.0,1.0,4.15916,6.0,0.993018,0.96264,0.820438,422806.0,46.978444,0.0,99.599998,11.0,267.0,268.0,NaN,170.0,365.0,913.0,2878.0
C.04,1.0,900.0,2475.0,0.0,5.5,8.0,0.0,0.006118,1.0,1000.0,3048.0,0.0,6.096,8.0,0.0,0.006102,91.0,1.0,4.28118,7.0,0.992778,0.964027,0.838617,123.0,1.0,4.10957,6.0,0.992904,0.961154,0.809514,415280.0,46.142222,0.0,99.300003,11.0,314.0,329.0,NaN,168.0,364.0,993.0,3321.0
C.05,1.0,900.0,2459.0,0.0,5.46444,8.0,0.0,0.006078,1.0,1000.0,3000.0,0.0,6.0,8.0,0.0,0.006006,91.0,1.0,4.30318,7.0,0.992817,0.964491,0.842306,123.0,1.0,4.15303,6.0,0.993,0.962334,0.818826,438830.0,48.758889,0.0,99.699997,11.0,292.0,264.0,NaN,163.0,345.0,913.0,2800.0
C.06,1.0,900.0,2434.0,0.0,5.40889,8.0,0.0,0.006017,1.0,1000.0,3004.0,0.0,6.008,8.0,0.0,0.006014,89.0,1.0,4.3203,7.0,0.992879,0.965133,0.845973,123.0,1.0,4.14446,6.0,0.992992,0.962222,0.817426,405434.0,45.048222,0.0,98.300003,11.0,416.0,308.0,NaN,175.0,365.0,1278.0,3249.0
C.07,1.0,900.0,2467.0,0.0,5.48222,8.0,0.0,0.006098,1.0,1000.0,3043.0,0.0,6.086,8.0,0.0,0.006092,91.0,1.0,4.29758,7.0,0.992798,0.96443,0.841578,125.0,1.0,4.11726,6.0,0.992914,0.961288,0.81093,395040.0,43.893333,0.0,98.599998,10.0,408.0,267.0,NaN,173.0,372.0,998.0,3398.0
C.08,1.0,900.0,2461.0,0.0,5.46889,8.0,0.0,0.006083,1.0,1000.0,3006.0,0.0,6.012,8.0,0.0,0.006018,89.0,1.0,4.29605,7.0,0.992812,0.964348,0.840627,122.0,1.0,4.14441,6.0,0.992988,0.962162,0.816908,432229.0,48.025444,0.0,99.5,10.0,341.0,269.0,NaN,165.0,348.0,907.0,2914.0
C.09,1.0,900.0,2445.0,0.0,5.43333,8.0,0.0,0.006044,1.0,1000.0,2985.0,0.0,5.97,8.0,0.0,0.005976,93.0,1.0,4.31141,7.0,0.992852,0.964881,0.843741,122.0,1.0,4.1602,6.0,0.99303,0.962682,0.820344,432590.0,48.065556,0.0,99.300003,12.0,282.0,264.0,NaN,163.0,342.0,909.0,2764.0
C.10,1.0,900.0,2435.0,0.0,5.41111,8.0,0.0,0.006019,1.0,1000.0,3032.0,0.0,6.064,8.0,0.0,0.00607,91.0,1.0,4.32488,7.0,0.992877,0.965158,0.846015,124.0,1.0,4.12419,6.0,0.992936,0.96154,0.81257,380831.0,42.314556,0.0,99.400002,11.0,502.0,277.0,NaN,167.0,387.0,1027.0,3426.0
C.11,1.0,900.0,2460.0,0.0,5.46667,8.0,0.0,0.006081,1.0,1000.0,3021.0,0.0,6.042,8.0,0.0,0.006048,91.0,1.0,4.30633,7.0,0.992815,0.964612,0.842968,121.0,1.0,4.14026,6.0,0.992958,0.961964,0.81625,416258.0,46.250889,0.0,98.900002,9.0,613.0,317.0,NaN,165.0,366.0,1073.0,2997.0
C.12,1.0,900.0,2435.0,0.0,5.41111,8.0,0.0,0.006019,1.0,1000.0,2995.0,0.0,5.99,8.0,0.0,0.005996,91.0,1.0,4.31991,7.0,0.992877,0.965047,0.84496,122.0,1.0,4.15665,6.0,0.99301,0.962518,0.819532,424608.0,47.178667,0.0,99.599998,10.0,275.0,263.0,NaN,167.0,347.0,901.0,3052.0
C.13,1.0,900.0,2464.0,0.0,5.47556,8.0,0.0,0.006091,1.0,1000.0,3044.0,0.0,6.088,8.0,0.0,0.006094,90.0,1.0,4.29338,7.0,0.992805,0.964501,0.841652,123.0,1.0,4.11566,6.0,0.992912,0.961338,0.81107,400352.0,44.483556,0.0,98.199997,10.0,682.0,502.0,NaN,167.0,429.0,1014.0,3260.0
C.14,1.0,900.0,2443.0,0.0,5.42889,8.0,0.0,0.006039,1.0,1000.0,3022.0,0.0,6.044,8.0,0.0,0.00605,90.0,1.0,4.3164,7.0,0.992857,0.964946,0.844931,124.0,1.0,4.13383,6.0,0.992956,0.96186,0.81494,405517.0,45.057444,0.0,99.599998,12.0,558.0,293.0,NaN,170.0,380.0,983.0,3198.0
C.15,1.0,900.0,2434.0,0.0,5.40889,8.0,0.0,0.006017,1.0,1000.0,2994.0,0.0,5.988,8.0,0.0,0.005994,90.0,1.0,4.32383,7.0,0.992879,0.965121,0.845783,122.0,1.0,4.15512,6.0,0.993012,0.962484,0.819318,421468.0,46.829778,0.0,99.800003,10.0,277.0,284.0,NaN,163.0,405.0,1228.0,2908.0
C.16,1.0,900.0,2463.0,0.0,5.47333,8.0,0.0,0.006088,1.0,1000.0,3015.0,0.0,6.03,8.0,0.0,0.006036,92.0,1.0,4.29953,7.0,0.992807,0.96443,0.841704,123.0,1.0,4.14117,6.0,0.99297,0.962036,0.816296,433685.0,48.187222,0.0,99.699997,10.0,309.0,266.0,NaN,167.0,371.0,966.0,3413.0
C.17,1.0,900.0,2427.0,0.0,5.39333,8.0,0.0,0.005999,1.0,1000.0,2989.0,0.0,5.978,8.0,0.0,0.005984,90.0,1.0,4.34264,7.0,0.992896,0.96543,0.848533,122.0,1.0,4.16729,6.0,0.993022,0.9627,0.821508,414281.0,46.031222,0.0,99.199997,9.0,329.0,270.0,NaN,176.0,359.0,916.0,2906.0
C.18,1.0,900.0,2424.0,0.0,5.38667,8.0,0.0,0.005992,1.0,1000.0,2976.0,0.0,5.952,8.0,0.0,0.005958,90.0,1.0,4.33491,7.0,0.992904,0.965407,0.847573,122.0,1.0,4.16967,6.0,0.993048,0.96294,0.822674,418463.0,46.495889,0.0,99.599998,10.0,415.0,261.0,NaN,164.0,394.0,932.0,2937.0
C.19,1.0,900.0,2453.0,0.0,5.45111,8.0,0.0,0.006064,1.0,1000.0,3020.0,0.0,6.04,8.0,0.0,0.006046,91.0,1.0,4.30435,7.0,0.992832,0.964612,0.84239,124.0,1.0,4.13341,6.0,0.99296,0.961864,0.814528,423621.0,47.069,0.0,99.900002,11.0,308.0,266.0,NaN,168.0,412.0,1020.0,2992.0
C.20,1.0,900.0,2478.0,0.0,5.50667,8.0,0.0,0.006125,1.0,1000.0,3024.0,0.0,6.048,8.0,0.0,0.006054,91.0,1.0,4.2767,7.0,0.99277,0.963946,0.838351,125.0,1.0,4.12789,6.0,0.992952,0.961728,0.813996,434440.0,48.271111,0.0,99.599998,12.0,458.0,280.0,NaN,164.0,367.0,950.0,3041.0
E.01,0.0,270.0,5666.0,2.0,41.963,223.0,0.0,0.156024,0.0,300.0,6752.0,0.0,45.0133,269.0,0.0,0.150546,21.0,1.0,1.84431,3.0,0.840905,0.000274,0.0,30.0,1.0,1.84957,3.0,0.846622,0.000111,0.0,0.0,100.0,0.0,0.0,8.0,75.0,119.0,NaN,34.0,752.0,2470.0,62817.0
E.02,0.0,270.0,5089.0,3.0,37.6852,198.0,0.0,0.140135,0.0,300.0,6581.0,0.0,43.8733,243.0,0.0,0.146734,22.0,1.0,1.86262,3.0,0.856763,0.002661,0.0,30.0,1.0,1.8536,3.0,0.850422,0.000333,0.0,0.0,100.0,0.0,0.0,2.0,10.0,21.0,NaN,38.0,855.0,2792.0,48638.0
E.03,0.0,270.0,5176.0,2.0,38.3333,206.0,0.0,0.142531,0.0,300.0,6207.0,0.0,41.38,249.0,0.0,0.138395,21.0,1.0,1.85987,3.0,0.854348,0.002332,0.0,29.0,1.0,1.86308,3.0,0.858733,0.001467,0.0,0.0,100.0,0.0,0.0,4.0,42.0,55.0,NaN,30.0,689.0,2093.0,41763.0
E.04,0.0,270.0,5510.0,1.0,40.8111,220.0,0.0,0.151728,0.0,300.0,6621.0,0.0,44.14,274.0,0.0,0.147625,22.0,1.0,1.84902,3.0,0.845158,0.000713,0.0,29.0,1.0,1.85244,3.0,0.849533,6.7e-05,0.0,0.0,100.0,0.0,0.0,4.0,32.0,41.0,NaN,30.0,764.0,2299.0,61620.0
E.05,0.0,270.0,5067.0,1.0,37.5296,231.0,0.0,0.139529,0.0,300.0,6829.0,0.0,45.5267,282.0,0.0,0.152263,21.0,1.0,1.86154,3.0,0.857311,0.001043,0.0,30.0,1.0,1.84774,2.0,0.844911,0.0,0.0,0.0,100.0,0.0,0.0,12.0,104.0,119.0,NaN,19.0,614.0,1926.0,59824.0
E.06,0.0,270.0,5485.0,1.0,40.6259,222.0,0.0,0.15104,0.0,300.0,6641.0,0.0,44.2733,277.0,0.0,0.148071,22.0,1.0,1.85067,3.0,0.845844,0.001674,0.0,30.0,1.0,1.85235,3.0,0.849089,0.000422,0.0,0.0,100.0,0.0,0.0,4.0,28.0,42.0,NaN,50.0,899.0,2406.0,53463.0
E.07,0.0,270.0,5388.0,2.0,39.9037,183.0,0.0,0.148368,0.0,300.0,6563.0,0.0,43.7533,222.0,0.0,0.146332,22.0,1.0,1.8554,3.0,0.848532,0.003704,0.0,30.0,1.0,1.85641,3.0,0.850822,0.002733,0.0,0.0,100.0,0.0,0.0,2.0,5.0,14.0,2282.0,54.0,1115.0,2937.0,46500.0
E.08,0.0,270.0,4996.0,2.0,37.0,191.0,0.0,0.137574,0.0,300.0,6394.0,0.0,42.6267,239.0,0.0,0.142564,20.0,1.0,1.86592,3.0,0.859287,0.003429,0.0,30.0,1.0,1.85799,3.0,0.854578,0.000556,0.0,0.0,100.0,0.0,0.0,6.0,58.0,71.0,NaN,18.0,428.0,1686.0,43559.0
