Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_CCEHC2akms,algo_ahms-1.70,algo_LMHS-2016,algo_Optiriss6,algo_WPM3-2015-co,algo_WMaxSatz09,algo_maxino16-dis,algo_Naps-1.02-ms,algo_mscg2015b,algo_mscg2015a,algo_maxhs-b,algo_Open-WBO16,algo_QMaxSAT16UC,algo_maxino16-c10,algo_WMaxSatz+,algo_CCLS2akms,algo_QMaxSAT14,algo_ahms-ls-1.70,algo_Open-WBO15
10tree305p.wcnf,6600.0,25449.0,0.00825,1.0,0.0,1.0,1.0,0.25934,0.00039,1.09785,0.00012,0.00263,0.00251,0.00039,0.37016,0.00015,0.00091,0.00076,0.43131,0.2386,0.0,0.75,0.75,0.40459,0.65398,0.0,1.0,1.0,0.00998,0.66895,0.78133,0.00024,0.0,4e-05,0.00138,0.00134,0.74459,NaN,NaN,1.06,1.4,1.04,361.92,0.58,4.06,1.34,0.33,3.62,1.45,1.23,1.04,359.55,NaN,1.04,NaN,1.1
10tree310p.wcnf,4544.0,16526.0,0.01271,1.0,0.0,1.0,1.0,0.27496,0.00055,1.14424,0.00024,0.00418,0.00393,0.00055,0.31908,0.00022,0.00088,0.00066,0.43841,0.2113,0.25,0.66667,0.41667,0.41272,0.66029,0.0,1.0,1.0,0.01271,0.65648,0.8155,0.00034,0.0,0.00012,0.00206,0.00194,0.73702,NaN,104.74,1.24,4.89,0.85,227.58,0.86,6.36,0.97,0.31,2.24,0.79,2.4,1.32,240.34,NaN,2.85,80.09,1.29
10tree315p.wcnf,6666.0,25669.0,0.00818,1.0,0.0,1.0,1.0,0.25969,0.00039,1.0968,0.00012,0.00261,0.00249,0.00039,0.37075,0.00015,0.0009,0.00075,0.43083,0.2396,0.0,0.75,0.75,0.40391,0.65594,0.0,1.0,1.0,0.0099,0.6735,0.78449,0.00024,0.0,4e-05,0.00136,0.00132,0.74635,NaN,1038.03,6.3,60.47,8.66,985.59,14.47,38.67,7.95,5.51,14.96,10.09,16.32,8.04,967.39,NaN,17.94,1236.57,16.02
10tree320p.wcnf,4568.0,16598.0,0.01265,1.0,0.0,1.0,1.0,0.27521,0.00055,1.14332,0.00024,0.00416,0.00392,0.00055,0.31896,0.00022,0.00088,0.00066,0.43813,0.21139,0.25,0.66667,0.41667,0.41234,0.66131,0.0,1.0,1.0,0.01265,0.65869,0.81666,0.00034,0.0,0.00012,0.00205,0.00193,0.7378,NaN,244.65,6.43,40.8,4.04,399.35,7.95,31.3,2.7,2.25,11.84,10.75,22.05,8.06,403.28,NaN,19.31,273.08,12.0
10tree325p.wcnf,6690.0,25749.0,0.00816,1.0,0.0,1.0,1.0,0.25982,0.00038,1.09623,0.00012,0.0026,0.00249,0.00038,0.37095,0.00015,0.0009,0.00075,0.4306,0.23944,0.0,0.75,0.75,0.40367,0.65666,0.0,1.0,1.0,0.00986,0.67513,0.78562,0.00024,0.0,4e-05,0.00136,0.00132,0.74698,NaN,1089.58,20.6,288.49,35.31,NaN,40.39,105.26,13.45,14.08,57.92,68.81,74.46,33.35,NaN,NaN,62.12,1038.38,86.72
10tree330p.wcnf,4596.0,16682.0,0.01259,1.0,0.0,1.0,1.0,0.27551,0.00055,1.14245,0.00024,0.00414,0.0039,0.00055,0.31871,0.00022,0.00087,0.00065,0.43783,0.21154,0.25,0.66667,0.41667,0.41191,0.66245,0.0,1.0,1.0,0.01259,0.66125,0.81801,0.00034,0.0,0.00012,0.00204,0.00192,0.7387,NaN,744.9,11.2,247.77,11.57,902.06,25.82,148.13,8.53,16.51,49.44,23.16,58.78,26.11,870.53,NaN,52.0,979.83,24.75
10tree405p.wcnf,6672.0,25689.0,0.00817,1.0,0.0,1.0,1.0,0.25972,0.00039,1.09741,0.00012,0.00261,0.00249,0.00039,0.37079,0.00015,0.0009,0.00075,0.43094,0.24072,0.0,0.75,0.75,0.40385,0.65612,0.0,1.0,1.0,0.00989,0.67391,0.78477,0.00024,0.0,4e-05,0.00136,0.00132,0.74651,NaN,NaN,1.8,1.49,1.43,1009.36,0.76,3.46,1.86,0.39,4.49,1.57,1.14,1.16,961.12,NaN,1.14,NaN,1.45
10tree405posib.wcnf,4606.0,16439.0,0.01277,1.0,0.0,1.0,1.0,0.28019,0.00054,1.148,6e-05,0.0042,0.00414,0.00054,0.31943,0.00022,0.00087,0.00065,0.43617,0.23268,0.0,1.0,1.0,0.41275,0.66193,0.0,1.0,1.0,0.01734,0.65691,0.82268,0.00034,0.0,6e-05,0.00213,0.00207,0.74074,NaN,15.3,0.59,0.25,0.12,35.33,0.27,1.43,0.39,0.23,0.94,0.58,0.24,0.28,34.94,NaN,0.28,15.78,0.62
10tree410p.wcnf,6714.0,25829.0,0.00813,1.0,0.0,1.0,1.0,0.25994,0.00038,1.09677,0.00012,0.00259,0.00248,0.00038,0.37107,0.00015,0.00089,0.00074,0.43066,0.24147,0.0,0.75,0.75,0.40342,0.6573,0.0,1.0,1.0,0.00983,0.67676,0.78675,0.00024,0.0,4e-05,0.00136,0.00132,0.74761,NaN,NaN,3.44,14.22,5.63,189.69,3.32,15.83,6.35,1.32,9.05,4.6,6.99,4.47,192.67,NaN,6.83,NaN,11.88
10tree415p.wcnf,4600.0,16694.0,0.01258,1.0,0.0,1.0,1.0,0.27555,0.00055,1.14351,0.00024,0.00413,0.00389,0.00055,0.31867,0.00022,0.00087,0.00065,0.43806,0.21302,0.25,0.66667,0.41667,0.41185,0.66262,0.0,1.0,1.0,0.01258,0.66161,0.8182,0.00034,0.0,0.00012,0.00204,0.00192,0.73883,NaN,222.45,3.0,15.71,2.29,185.1,2.05,14.84,1.56,1.16,5.83,2.96,5.33,1.97,180.84,NaN,7.04,253.77,3.28
10tree420p.wcnf,6756.0,25969.0,0.00809,1.0,0.0,1.0,1.0,0.26016,0.00038,1.09587,0.00012,0.00258,0.00246,0.00038,0.37129,0.00015,0.00089,0.00074,0.43034,0.24186,0.0,0.75,0.75,0.403,0.65856,0.0,1.0,1.0,0.00978,0.67958,0.78871,0.00023,0.0,4e-05,0.00135,0.00131,0.7487,NaN,1015.23,11.8,170.19,21.64,695.63,24.94,77.55,23.49,17.91,25.45,28.25,33.68,34.19,712.58,NaN,38.74,750.23,34.49
10tree425p.wcnf,4640.0,16814.0,0.01249,1.0,0.0,1.0,1.0,0.27596,0.00054,1.14225,0.00024,0.0041,0.00387,0.00054,0.31841,0.00022,0.00086,0.00065,0.43769,0.21358,0.25,0.66667,0.41667,0.41124,0.66423,0.0,1.0,1.0,0.01249,0.66522,0.82009,0.00034,0.0,0.00012,0.00202,0.0019,0.7401,NaN,726.67,4.42,114.81,11.32,605.44,7.8,83.53,4.51,6.72,13.36,9.29,22.74,7.1,609.67,NaN,23.2,691.7,14.08
10tree430p.wcnf,6810.0,26149.0,0.00803,1.0,0.0,1.0,1.0,0.26043,0.00038,1.09503,0.00011,0.00256,0.00245,0.00038,0.37158,0.00015,0.00088,0.00073,0.42997,0.24269,0.0,0.75,0.75,0.40246,0.6602,0.0,1.0,1.0,0.00971,0.68316,0.7912,0.00023,0.0,4e-05,0.00134,0.0013,0.75009,NaN,NaN,27.82,1193.47,88.38,NaN,139.48,320.7,49.3,28.68,113.46,98.1,126.72,146.63,NaN,NaN,123.57,NaN,90.76
10tree505p.wcnf,4568.0,16598.0,0.01265,1.0,0.0,1.0,1.0,0.27521,0.00055,1.14489,0.00024,0.00416,0.00392,0.00055,0.31896,0.00022,0.00088,0.00066,0.43843,0.21287,0.25,0.66667,0.41667,0.41234,0.66131,0.0,1.0,1.0,0.01265,0.65869,0.81666,0.00034,0.0,0.00012,0.00205,0.00193,0.7378,NaN,28.2,0.79,0.43,0.76,22.32,0.35,4.15,0.35,0.18,1.04,0.51,0.63,0.33,21.52,NaN,0.8,23.1,0.49
10tree505posib.wcnf,6735.0,25079.0,0.00837,1.0,0.0,1.0,1.0,0.26855,0.00038,1.10257,4e-05,0.00267,0.00263,0.00038,0.37041,0.00015,0.00089,0.00074,0.42657,0.27308,0.0,1.0,1.0,0.40464,0.65606,0.0,1.0,1.0,0.01742,0.67132,0.79648,0.00024,0.0,4e-05,0.0014,0.00136,0.75155,NaN,19.61,0.96,0.59,1.11,127.32,0.4,2.11,0.85,0.45,1.3,0.87,1.0,0.56,122.38,NaN,0.48,25.22,0.82
10tree510p.wcnf,4592.0,16670.0,0.0126,1.0,0.0,1.0,1.0,0.27546,0.00055,1.14406,0.00024,0.00414,0.0039,0.00055,0.31879,0.00022,0.00087,0.00065,0.43818,0.21313,0.25,0.66667,0.41667,0.41197,0.66225,0.0,1.0,1.0,0.0126,0.66089,0.81782,0.00034,0.0,0.00012,0.00204,0.00192,0.73857,NaN,50.69,1.22,4.5,1.6,106.61,0.96,6.72,1.27,0.83,2.15,1.17,2.73,0.81,104.98,NaN,4.31,49.49,1.34
10tree515p.wcnf,6738.0,25909.0,0.00811,1.0,0.0,1.0,1.0,0.26006,0.00038,1.09642,0.00012,0.00259,0.00247,0.00038,0.37128,0.00015,0.00089,0.00074,0.4305,0.24181,0.0,0.75,0.75,0.40318,0.65814,0.0,1.0,1.0,0.0098,0.67837,0.78787,0.00023,0.0,4e-05,0.00135,0.00131,0.74823,NaN,381.46,8.59,53.66,10.67,1063.44,8.73,30.57,10.84,2.15,18.29,7.25,10.5,14.19,1128.21,NaN,15.98,400.99,11.41
10tree520p.wcnf,4632.0,16790.0,0.01251,1.0,0.0,1.0,1.0,0.27588,0.00054,1.14299,0.00024,0.00411,0.00387,0.00054,0.3184,0.00022,0.00086,0.00065,0.43783,0.21376,0.25,0.66667,0.41667,0.41136,0.66387,0.0,1.0,1.0,0.01251,0.6645,0.81971,0.00034,0.0,0.00012,0.00203,0.00191,0.73985,NaN,1001.43,7.08,34.0,5.81,595.87,7.02,34.33,3.22,3.6,13.58,5.11,15.13,8.3,597.89,NaN,13.96,547.64,7.82
10tree525p.wcnf,6780.0,26049.0,0.00806,1.0,0.0,1.0,1.0,0.26028,0.00038,1.09564,0.00012,0.00257,0.00246,0.00038,0.37139,0.00015,0.00088,0.00074,0.43017,0.24218,0.0,0.75,0.75,0.40276,0.65927,0.0,1.0,1.0,0.00975,0.68118,0.78982,0.00023,0.0,4e-05,0.00134,0.00131,0.74932,NaN,1211.07,44.72,541.37,40.68,NaN,61.32,167.25,25.76,32.37,113.06,69.03,54.87,48.3,NaN,NaN,71.69,1627.28,115.61
10tree530p.wcnf,4660.0,16874.0,0.01245,1.0,0.0,1.0,1.0,0.27616,0.00054,1.14177,0.00024,0.00409,0.00385,0.00054,0.3183,0.00021,0.00086,0.00064,0.43753,0.21396,0.25,0.66667,0.41667,0.41094,0.66503,0.0,1.0,1.0,0.01245,0.667,0.82103,0.00033,0.0,0.00012,0.00201,0.0019,0.74073,NaN,912.69,18.11,203.63,12.87,1085.63,40.31,166.6,7.54,17.22,45.1,30.93,49.64,24.52,1095.27,NaN,42.81,722.73,42.77
15tree1001p.wcnf,38403.0,156283.0,0.00873,1.0,0.0,1.0,1.0,0.24573,7e-05,1.39732,2e-05,0.00068,0.00067,7e-05,0.43588,3e-05,0.00023,0.00021,0.41837,0.2394,0.0,0.81818,0.81818,0.39565,0.65748,0.0,1.0,1.0,0.0094,0.69798,0.77884,4e-05,0.0,1e-05,0.00035,0.00035,0.75725,NaN,NaN,20.09,66.1,75.08,NaN,16.68,111.36,85.31,21.39,19.26,19.7,85.53,22.02,NaN,NaN,79.23,NaN,17.18
15tree1001posib.wcnf,22986.0,84160.0,0.01622,1.0,0.0,1.0,1.0,0.27312,0.00011,1.43905,1e-05,0.0013,0.00128,0.00011,0.34652,4e-05,0.00022,0.00017,0.4198,0.26282,0.0,1.0,1.0,0.40398,0.67128,0.0,1.0,1.0,0.02435,0.67889,0.82344,7e-05,0.0,1e-05,0.00068,0.00067,0.76336,NaN,435.73,2.71,6.81,2.07,NaN,1.74,14.25,4.83,1.61,1.8,4.05,6.54,1.79,NaN,NaN,4.61,518.93,3.62
15tree101p.wcnf,37773.0,154043.0,0.00886,1.0,0.0,1.0,1.0,0.24521,7e-05,1.39883,2e-05,0.00069,0.00068,7e-05,0.43346,3e-05,0.00024,0.00021,0.41894,0.2368,0.0,0.81818,0.81818,0.39672,0.65451,0.0,1.0,1.0,0.00954,0.6904,0.7729,4e-05,0.0,1e-05,0.00036,0.00035,0.75418,NaN,NaN,14.98,43.04,61.25,NaN,14.59,169.75,56.69,18.35,23.3,23.46,61.75,37.81,NaN,NaN,70.89,NaN,27.34
15tree101posib.wcnf,22571.0,83430.0,0.01636,1.0,0.0,1.0,1.0,0.27054,0.00011,1.44144,1e-05,0.00131,0.00129,0.00011,0.34623,4e-05,0.00022,0.00018,0.42103,0.25413,0.0,1.0,1.0,0.4049,0.66831,0.0,1.0,1.0,0.02285,0.67274,0.81702,7e-05,0.0,1e-05,0.00068,0.00067,0.75988,NaN,NaN,3.61,8.25,5.79,NaN,2.51,16.9,6.47,2.77,6.34,4.76,9.51,3.45,NaN,NaN,6.96,NaN,4.2
15tree201p.wcnf,38394.0,156251.0,0.00874,1.0,0.0,1.0,1.0,0.24572,7e-05,1.39732,2e-05,0.00068,0.00067,7e-05,0.4359,3e-05,0.00023,0.00021,0.41839,0.23936,0.0,0.81818,0.81818,0.39567,0.65744,0.0,1.0,1.0,0.0094,0.69787,0.77876,4e-05,0.0,1e-05,0.00035,0.00035,0.75721,NaN,NaN,18.83,58.78,29.48,NaN,17.25,188.81,200.12,7.09,19.0,25.61,60.87,31.1,NaN,NaN,79.46,NaN,28.78
15tree201posib.wcnf,22916.0,84508.0,0.01615,1.0,0.0,1.0,1.0,0.27117,0.00011,1.43962,1e-05,0.00129,0.00128,0.00011,0.34616,4e-05,0.00022,0.00017,0.4207,0.25531,0.0,1.0,1.0,0.40378,0.67108,0.0,1.0,1.0,0.02255,0.67937,0.82099,7e-05,0.0,1e-05,0.00067,0.00066,0.76224,NaN,NaN,4.95,9.62,4.5,NaN,2.76,28.04,11.31,1.92,4.47,6.12,9.11,4.9,NaN,NaN,8.35,NaN,5.51
15tree301p.wcnf,38511.0,156667.0,0.00871,1.0,0.0,1.0,1.0,0.24581,7e-05,1.39707,2e-05,0.00068,0.00066,7e-05,0.43625,3e-05,0.00023,0.00021,0.41828,0.23987,0.0,0.81818,0.81818,0.39547,0.65786,0.0,1.0,1.0,0.00938,0.69925,0.77985,4e-05,0.0,1e-05,0.00035,0.00034,0.75777,NaN,NaN,20.98,71.47,38.75,NaN,15.31,164.92,114.36,12.21,37.56,19.72,77.43,18.19,NaN,NaN,72.47,NaN,22.83
15tree301posib.wcnf,23043.0,84357.0,0.01618,1.0,0.0,1.0,1.0,0.27316,0.00011,1.43832,1e-05,0.00129,0.00128,0.00011,0.34623,4e-05,0.00022,0.00017,0.41986,0.26223,0.0,1.0,1.0,0.4037,0.67184,0.0,1.0,1.0,0.02415,0.68013,0.82414,7e-05,0.0,1e-05,0.00068,0.00066,0.76385,NaN,754.32,3.45,15.58,5.64,NaN,2.9,22.11,5.27,3.49,2.29,5.34,13.62,3.35,NaN,NaN,13.89,571.92,6.26
15tree401p.wcnf,38043.0,155003.0,0.00881,1.0,0.0,1.0,1.0,0.24543,7e-05,1.39754,2e-05,0.00069,0.00067,7e-05,0.43472,3e-05,0.00024,0.00021,0.4187,0.23807,0.0,0.81818,0.81818,0.39626,0.65593,0.0,1.0,1.0,0.00948,0.69368,0.77547,4e-05,0.0,1e-05,0.00035,0.00035,0.75551,NaN,NaN,24.06,63.19,301.97,NaN,21.7,153.2,55.99,8.54,37.38,16.21,58.28,46.82,NaN,NaN,57.86,NaN,14.81
15tree401posib.wcnf,22721.0,83889.0,0.01627,1.0,0.0,1.0,1.0,0.27085,0.00011,1.44042,1e-05,0.0013,0.00129,0.00011,0.34614,4e-05,0.00022,0.00018,0.42077,0.25513,0.0,1.0,1.0,0.40435,0.66962,0.0,1.0,1.0,0.02277,0.67568,0.81878,7e-05,0.0,1e-05,0.00068,0.00067,0.76092,NaN,NaN,2.96,4.15,2.13,NaN,1.52,22.93,3.71,1.35,1.88,4.85,6.28,2.05,NaN,NaN,3.62,NaN,3.94
15tree501p.wcnf,38304.0,155931.0,0.00875,1.0,0.0,1.0,1.0,0.24565,7e-05,1.39751,2e-05,0.00069,0.00067,7e-05,0.43461,3e-05,0.00023,0.00021,0.41847,0.23912,0.0,0.81818,0.81818,0.39582,0.65684,0.0,1.0,1.0,0.00942,0.6968,0.77792,4e-05,0.0,1e-05,0.00035,0.00035,0.75678,NaN,NaN,16.79,89.44,29.14,NaN,22.01,220.59,79.29,13.51,28.55,29.64,88.09,24.44,NaN,NaN,41.88,NaN,49.55
15tree501posib.wcnf,22929.0,84003.0,0.01625,1.0,0.0,1.0,1.0,0.27295,0.00011,1.43928,1e-05,0.0013,0.00129,0.00011,0.34621,4e-05,0.00022,0.00017,0.42001,0.26199,0.0,1.0,1.0,0.40413,0.67068,0.0,1.0,1.0,0.02427,0.6779,0.82283,7e-05,0.0,1e-05,0.00068,0.00067,0.76306,NaN,561.52,3.99,7.4,4.77,NaN,2.0,21.77,7.89,1.35,2.22,6.29,5.95,3.51,NaN,NaN,7.5,421.48,5.68
15tree601p.wcnf,38043.0,155003.0,0.00881,1.0,0.0,1.0,1.0,0.24543,7e-05,1.39754,2e-05,0.00069,0.00067,7e-05,0.43471,3e-05,0.00024,0.00021,0.41868,0.23784,0.0,0.81818,0.81818,0.39626,0.65592,0.0,1.0,1.0,0.00948,0.69368,0.77547,4e-05,0.0,1e-05,0.00035,0.00035,0.75551,NaN,NaN,12.34,68.62,31.48,NaN,19.65,211.89,125.45,27.57,42.91,35.39,70.95,24.98,NaN,NaN,96.29,NaN,40.31
15tree601posib.wcnf,22722.0,83903.0,0.01627,1.0,0.0,1.0,1.0,0.27081,0.00011,1.4404,1e-05,0.0013,0.00129,0.00011,0.34617,4e-05,0.00022,0.00018,0.42079,0.25504,0.0,1.0,1.0,0.40444,0.66948,0.0,1.0,1.0,0.02279,0.67567,0.81879,7e-05,0.0,1e-05,0.00068,0.00067,0.76089,NaN,NaN,3.72,9.34,3.35,NaN,2.59,21.59,4.47,1.83,2.56,4.27,6.22,5.03,NaN,NaN,8.69,NaN,3.72
15tree701p.wcnf,38403.0,156283.0,0.00873,1.0,0.0,1.0,1.0,0.24573,7e-05,1.3973,2e-05,0.00068,0.00067,7e-05,0.43588,3e-05,0.00023,0.00021,0.41838,0.23956,0.0,0.81818,0.81818,0.39565,0.65747,0.0,1.0,1.0,0.0094,0.69798,0.77884,4e-05,0.0,1e-05,0.00035,0.00035,0.75725,NaN,NaN,13.19,43.72,50.01,NaN,8.17,204.03,80.09,18.13,25.55,28.12,92.58,16.54,NaN,NaN,54.17,NaN,23.95
15tree701posib.wcnf,22989.0,84147.0,0.01622,1.0,0.0,1.0,1.0,0.2732,0.00011,1.43915,1e-05,0.0013,0.00128,0.00011,0.34653,4e-05,0.00022,0.00017,0.41974,0.26361,0.0,1.0,1.0,0.40404,0.67126,0.0,1.0,1.0,0.02447,0.67873,0.82339,7e-05,0.0,1e-05,0.00068,0.00067,0.76334,NaN,565.22,2.86,5.38,4.02,NaN,1.3,23.34,7.57,1.36,2.18,4.25,5.95,2.14,NaN,NaN,6.17,598.2,4.05
15tree801p.wcnf,38772.0,157595.0,0.00866,1.0,0.0,1.0,1.0,0.24602,7e-05,1.39586,2e-05,0.00068,0.00066,7e-05,0.4372,3e-05,0.00023,0.00021,0.41808,0.24119,0.0,0.81818,0.81818,0.39504,0.65977,0.0,1.0,1.0,0.00932,0.70231,0.78225,4e-05,0.0,1e-05,0.00035,0.00034,0.75902,NaN,NaN,25.0,87.73,51.23,NaN,34.42,172.04,58.51,5.32,29.77,35.46,79.65,31.13,NaN,NaN,58.18,NaN,37.27
15tree801posib.wcnf,23254.0,84455.0,0.01616,1.0,0.0,1.0,1.0,0.27534,0.00011,1.43669,1e-05,0.00129,0.00128,0.00011,0.34607,4e-05,0.00022,0.00017,0.41901,0.27009,0.0,1.0,1.0,0.40355,0.6731,0.0,1.0,1.0,0.02581,0.68224,0.82815,7e-05,0.0,1e-05,0.00067,0.00066,0.76584,NaN,NaN,1.98,4.36,5.3,NaN,1.77,13.07,5.52,1.18,1.58,4.12,5.52,4.05,NaN,NaN,4.66,NaN,3.6
15tree901p.wcnf,38016.0,154907.0,0.00881,1.0,0.0,1.0,1.0,0.24541,7e-05,1.39731,2e-05,0.00069,0.00067,7e-05,0.43492,3e-05,0.00024,0.00021,0.41871,0.23772,0.0,0.81818,0.81818,0.39631,0.65576,0.0,1.0,1.0,0.00948,0.69335,0.77521,4e-05,0.0,1e-05,0.00036,0.00035,0.75538,NaN,NaN,20.66,44.18,70.87,NaN,19.08,220.45,117.32,11.7,36.25,18.06,76.59,19.91,NaN,NaN,56.48,NaN,17.58
