Instances,feature_ VariableCount,feature_ VPOPSMean,feature_ POPSCount,feature_ PSSMaximum,feature_ PSSMean,feature_ PSSStandardDeviation,feature_ VPOPSMaximum,feature_ VPOPSStandardDeviation,feature_ PatterndatabaselowerboundIndegreeMaximum,feature_ PatterndatabaselowerboundIndegreeMean,feature_ PatterndatabaselowerboundIndegreeStandardDeviation,feature_ PatterndatabaselowerboundLeafCount,feature_ PatterndatabaselowerboundNTCCount,feature_ PatterndatabaselowerboundNTCMax,feature_ PatterndatabaselowerboundNTCMean,feature_ PatterndatabaselowerboundNTCStandardDeviation,feature_ PatterndatabaselowerboundOutdegreeMaximum,feature_ PatterndatabaselowerboundOutdegreeMean,feature_ PatterndatabaselowerboundOutdegreeStandardDeviation,feature_ PatterndatabaselowerboundRootCount,feature_ PatterndatabaselowerboundTotalDegreeMaximum,feature_ PatterndatabaselowerboundTotalDegreeMean,feature_ PatterndatabaselowerboundTotalDegreeStandardDeviation,feature_ SimplelowerboundIndegreeMaximum,feature_ SimplelowerboundIndegreeMean,feature_ SimplelowerboundIndegreeStandardDeviation,feature_ SimplelowerboundLeafCount,feature_ SimplelowerboundNTCCount,feature_ SimplelowerboundNTCMax,feature_ SimplelowerboundNTCMean,feature_ SimplelowerboundNTCStandardDeviation,feature_ SimplelowerboundOutdegreeMaximum,feature_ SimplelowerboundOutdegreeMean,feature_ SimplelowerboundOutdegreeStandardDeviation,feature_ SimplelowerboundRootCount,feature_ SimplelowerboundTotalDegreeMaximum,feature_ SimplelowerboundTotalDegreeMean,feature_ SimplelowerboundTotalDegreeStandardDeviation,feature_ GreedyhillclimbingErrorbound,feature_ GreedyhillclimbingIndegreeMaximum,feature_ GreedyhillclimbingIndegreeMean,feature_ GreedyhillclimbingIndegreeStandardDeviation,feature_ GreedyhillclimbingLeafCount,feature_ GreedyhillclimbingOutdegreeMaximum,feature_ GreedyhillclimbingOutdegreeMean,feature_ GreedyhillclimbingOutdegreeStandardDeviation,feature_ GreedyhillclimbingRootCount,feature_ GreedyhillclimbingTotalDegreeMaximum,feature_ GreedyhillclimbingTotalDegreeMean,feature_ GreedyhillclimbingTotalDegreeStandardDeviation,feature_ AnytimewindowA*Errorbound,feature_ AnytimewindowA*IndegreeMaximum,feature_ AnytimewindowA*IndegreeMean,feature_ AnytimewindowA*IndegreeStandardDeviation,feature_ AnytimewindowA*LeafCount,feature_ AnytimewindowA*OutdegreeMaximum,feature_ AnytimewindowA*OutdegreeMean,feature_ AnytimewindowA*OutdegreeStandardDeviation,feature_ AnytimewindowA*RootCount,feature_ AnytimewindowA*TotalDegreeMaximum,feature_ AnytimewindowA*TotalDegreeMean,feature_ AnytimewindowA*TotalDegreeStandardDeviation,feature_ GOBNILPErrorbound,feature_ GOBNILPIndegreeMaximum,feature_ GOBNILPIndegreeMean,feature_ GOBNILPIndegreeStandardDeviation,feature_ GOBNILPLeafCount,feature_ GOBNILPOutdegreeMaximum,feature_ GOBNILPOutdegreeMean,feature_ GOBNILPOutdegreeStandardDeviation,feature_ GOBNILPRootCount,feature_ GOBNILPTotalDegreeMaximum,feature_ GOBNILPTotalDegreeMean,feature_ GOBNILPTotalDegreeStandardDeviation,feature_ CPBayesErrorbound,feature_ CPBayesIndegreeMaximum,feature_ CPBayesIndegreeMean,feature_ CPBayesIndegreeStandardDeviation,feature_ CPBayesLeafCount,feature_ CPBayesOutdegreeMaximum,feature_ CPBayesOutdegreeMean,feature_ CPBayesOutdegreeStandardDeviation,feature_ CPBayesRootCount,feature_ CPBayesTotalDegreeMaximum,feature_ CPBayesTotalDegreeMean,feature_ CPBayesTotalDegreeStandardDeviation,algo_astar-ec,algo_astar-ed3,algo_astar-comp,algo_cpbayes,algo_ilp-141,algo_ilp-141-nc,algo_ilp-162,algo_ilp-162-nc
alarm_10000_bdeu-10-3,41.49,3.0,1.62,0.83,11.0,5.0,1.62,1.46,5.0,6.0,3.24,1.42,4.5,3.0,1.59,0.96,11.0,6.0,1.59,1.52,7.0,6.0,3.19,1.52,6.85,3.0,1.81,0.81,11.0,9.0,1.81,2.0,2.0,10.0,3.62,2.02,44.89,3.0,1.68,1.0,9.0,7.0,1.68,1.72,6.0,7.0,3.35,1.62,9613.0,3.0,2.59,0.61,3.0,2.27,0.69,7.0,6.0,6.0,4.17,1.72,7.0,2.27,1.81,0.0,10.0,4.54,2.23,3.0,2.46,0.69,2.0,6.0,17.0,5.67,5.75,8.0,2.46,1.83,0.0,11.0,4.92,2.25,700.0,259.81,225.98,37.0,NaN,NaN,NaN,NaN,NaN,NaN,1415.0,2336.82
alarm_10000_bdeu-10-4,42.8,3.0,1.62,0.83,11.0,5.0,1.62,1.46,5.0,6.0,3.24,1.42,4.6,3.0,1.62,0.92,11.0,6.0,1.62,1.55,6.0,7.0,3.24,1.55,7.55,4.0,1.81,0.91,11.0,8.0,1.81,1.91,3.0,10.0,3.62,2.18,45.8,4.0,1.76,1.06,11.0,6.0,1.76,1.79,5.0,8.0,3.51,1.8,14098.0,4.0,3.04,0.83,4.0,2.38,0.86,6.0,5.0,9.0,5.2,2.49,7.0,2.38,1.83,0.0,10.0,4.76,2.35,4.0,2.81,1.05,1.0,3.0,17.0,11.67,5.51,8.0,2.81,1.9,0.0,12.0,5.62,2.73,1119.0,381.03,367.37,37.0,NaN,NaN,NaN,NaN,NaN,NaN,3183.7,4156.34
alarm_10000_bdeu-10-5,42.85,3.0,1.62,0.83,11.0,5.0,1.62,1.46,5.0,6.0,3.24,1.42,4.6,3.0,1.54,0.99,11.0,5.0,1.54,1.45,8.0,6.0,3.08,1.44,7.44,4.0,1.76,0.89,9.0,7.0,1.76,1.74,3.0,8.0,3.51,1.82,45.81,4.0,1.81,1.1,9.0,8.0,1.81,1.81,6.0,8.0,3.62,1.98,15062.0,5.0,3.16,0.93,5.0,2.41,0.93,6.0,5.0,9.0,5.2,2.49,7.0,2.41,1.85,0.0,11.0,4.81,2.42,5.0,2.89,1.17,0.0,3.0,18.0,12.0,6.0,8.0,2.89,1.94,0.0,13.0,5.78,2.91,1227.0,407.08,400.39,37.0,NaN,NaN,NaN,NaN,NaN,NaN,3655.44,3565.03
alarm_10000_bdeu-100-2,32.47,2.0,1.92,0.36,14.0,12.0,1.92,2.6,1.0,12.0,3.84,2.4,7.6,2.0,1.92,0.36,14.0,9.0,1.92,2.4,1.0,11.0,3.84,2.28,4.47,2.0,1.92,0.36,13.0,9.0,1.92,2.31,1.0,11.0,3.84,2.3,36.88,2.0,1.92,0.36,10.0,8.0,1.92,1.98,1.0,10.0,3.84,1.92,12795.0,2.0,1.92,0.28,2.0,2.0,0.0,8.0,4.0,17.0,7.0,6.88,6.0,2.0,1.65,0.0,8.0,4.0,1.65,2.0,2.0,0.0,6.0,9.0,6.0,3.33,1.5,7.0,2.0,1.76,0.0,9.0,4.0,1.76,643.0,345.81,131.17,37.0,NaN,NaN,239.28,NaN,873.07,1004.22,2555.12,2803.17
alarm_10000_bic-2,31.74,2.0,1.22,0.85,12.0,5.0,1.22,1.23,10.0,5.0,2.43,1.32,7.6,2.0,1.19,0.88,15.0,5.0,1.19,1.31,11.0,5.0,2.38,1.3,1.26,2.0,1.43,0.73,14.0,7.0,1.43,1.72,5.0,8.0,2.86,1.86,36.9,2.0,1.49,0.65,14.0,6.0,1.49,1.59,3.0,8.0,2.97,1.74,2653.0,2.0,1.8,0.43,2.0,1.7,0.57,10.0,7.0,6.0,3.43,1.81,6.0,1.7,1.53,2.0,8.0,3.41,1.83,2.0,1.78,0.48,7.0,9.0,6.0,3.22,1.48,7.0,1.78,1.57,1.0,9.0,3.57,1.79,169.0,71.7,55.1,37.0,NaN,NaN,145.95,1476.35,51.24,64.35,37.58,38.41
alarm_10000_bic-3,35.28,3.0,1.22,0.95,13.0,5.0,1.22,1.23,11.0,6.0,2.43,1.37,4.3,3.0,1.22,0.92,14.0,5.0,1.22,1.34,11.0,6.0,2.43,1.37,1.9,3.0,1.27,0.87,13.0,4.0,1.27,1.28,9.0,6.0,2.54,1.37,40.14,3.0,1.51,0.84,13.0,6.0,1.51,1.77,5.0,7.0,3.03,1.79,4922.0,3.0,2.35,0.68,3.0,1.95,0.81,9.0,6.0,6.0,4.17,1.72,6.0,1.95,1.7,2.0,9.0,3.89,2.21,3.0,2.19,0.81,3.0,7.0,15.0,4.86,4.71,8.0,2.19,1.66,1.0,11.0,4.38,2.23,475.0,133.03,125.0,37.0,NaN,NaN,249.17,5223.94,70.58,61.08,81.84,65.13
alarm_10000_bic-4,36.47,3.0,1.22,0.95,13.0,5.0,1.22,1.23,11.0,6.0,2.43,1.37,4.3,3.0,1.22,0.92,14.0,5.0,1.22,1.34,11.0,6.0,2.43,1.37,2.49,3.0,1.54,0.8,12.0,5.0,1.54,1.64,5.0,7.0,3.08,1.69,41.15,4.0,1.62,0.89,16.0,8.0,1.62,2.07,4.0,10.0,3.24,2.15,5166.0,4.0,2.43,0.75,3.0,1.95,0.81,9.0,6.0,6.0,4.17,1.72,6.0,1.95,1.7,2.0,9.0,3.89,2.21,4.0,2.24,0.89,3.0,5.0,17.0,6.8,5.89,8.0,2.24,1.64,1.0,11.0,4.49,2.27,574.0,139.62,136.94,37.0,NaN,NaN,250.96,5576.58,60.71,76.22,60.45,60.36
alarm_1000_bdeu-0.1-2,26.38,2.0,1.27,0.77,12.0,5.0,1.27,1.26,7.0,6.0,2.54,1.37,0.2,2.0,1.24,0.76,15.0,5.0,1.24,1.36,7.0,5.0,2.49,1.33,0.0,2.0,1.27,0.77,13.0,5.0,1.27,1.33,7.0,6.0,2.54,1.37,29.47,2.0,1.38,0.68,11.0,6.0,1.38,1.46,4.0,8.0,2.76,1.48,978.0,2.0,1.6,0.56,2.0,1.7,0.52,9.0,8.0,6.0,3.13,1.46,6.0,1.7,1.53,1.0,8.0,3.41,1.83,2.0,1.73,0.51,8.0,9.0,5.0,3.22,1.2,6.0,1.73,1.54,1.0,8.0,3.46,1.8,74.0,26.43,19.75,37.0,NaN,NaN,16.21,1.99,2.18,3.85,4.05,4.08
alarm_1000_bdeu-0.1-3,28.51,3.0,1.35,0.86,12.0,6.0,1.35,1.34,7.0,6.0,2.7,1.45,2.4,3.0,1.3,0.81,14.0,5.0,1.3,1.35,7.0,6.0,2.59,1.44,0.0,3.0,1.35,0.86,12.0,6.0,1.35,1.34,7.0,6.0,2.7,1.45,32.09,3.0,1.38,0.86,11.0,5.0,1.38,1.38,7.0,6.0,2.76,1.46,1381.0,3.0,2.01,0.79,3.0,1.92,0.8,10.0,6.0,9.0,4.0,2.9,7.0,1.92,1.74,1.0,10.0,3.84,2.29,3.0,2.08,0.83,4.0,7.0,8.0,4.71,2.06,7.0,2.08,1.75,1.0,10.0,4.16,2.37,152.0,37.32,35.27,37.0,NaN,NaN,18.83,254.37,2.67,4.12,3.02,5.13
alarm_1000_bdeu-0.1-4,28.85,3.0,1.35,0.86,13.0,6.0,1.35,1.4,7.0,6.0,2.7,1.45,1.9,3.0,1.3,0.81,14.0,5.0,1.3,1.35,7.0,6.0,2.59,1.44,0.0,3.0,1.35,0.86,12.0,6.0,1.35,1.34,7.0,6.0,2.7,1.45,32.23,3.0,1.35,0.79,13.0,5.0,1.35,1.38,6.0,7.0,2.7,1.53,1537.0,4.0,2.21,0.96,4.0,1.97,0.9,9.0,6.0,10.0,4.17,3.25,7.0,1.97,1.72,1.0,10.0,3.95,2.33,4.0,2.35,1.18,3.0,5.0,12.0,6.6,3.71,7.0,2.35,1.72,1.0,11.0,4.7,2.72,182.0,41.54,41.7,37.0,NaN,NaN,12.08,980.18,1.64,4.49,2.5,4.76
