Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_ahms-1.68,algo_maxino-kdyn,algo_QMSAT15UC,algo_WPM3-2015-co,algo_LMHS-C,algo_CCEHC2akms,algo_CCLS2akms,algo_Open-WBO,algo_WMaxSatz+,algo_ratselfax-cnf,algo_ILP-2015,algo_QMSAT14,algo_optiriss-sel,algo_msUZK-pp,algo_msUZK-nopp,algo_ahms-ls-1.68,algo_toysat,algo_Open-WBO-R,algo_ahms-1.55,algo_LMHS-I,algo_Open-WBO-L,algo_maxino-k16,algo_WMaxSatz09,algo_mscg2015b,algo_mscg2015a,algo_MaxHS,algo_ahms-ls-1.55,algo_toysat_ls,algo_optiriss-def
pms_industrial/atcoss/mesat/atcoss_mesat_04.wcnf,450890.0,1515125.0,0.0002,1.0,0.0,1.0,1.0,0.29759,1e-05,0.0,0.0,0.09796,0.09796,1e-05,0.0,0.0,1e-05,1e-05,0.48412,0.28135,0.0,1.0,1.0,0.44778,0.0,0.0,1.0,1.0,0.0484,0.28849,0.36943,0.0,0.0,0.0,0.05,0.05,0.51384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/mesat/atcoss_mesat_05.wcnf,450157.0,1463573.0,0.00021,1.0,0.0,1.0,1.0,0.30757,1e-05,0.0,0.0,0.10141,0.10141,1e-05,0.0,0.0,1e-05,1e-05,0.48402,0.28135,0.0,1.0,1.0,0.44886,0.0,0.0,1.0,1.0,0.05007,0.29769,0.3816,0.0,0.0,0.0,0.05176,0.05176,0.5193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/mesat/atcoss_mesat_06.wcnf,449672.0,1463225.0,0.00021,1.0,0.0,1.0,1.0,0.30732,1e-05,0.0,0.0,0.10143,0.10143,1e-05,0.0,0.0,1e-05,1e-05,0.48452,0.2763,0.0,1.0,1.0,0.44883,0.0,0.0,1.0,1.0,0.05006,0.2978,0.38145,0.0,0.0,0.0,0.05177,0.05177,0.51946,NaN,132.392,607.684,551.509,1517.88,NaN,NaN,504.69,NaN,NaN,NaN,551.864,1295.497,NaN,1072.111,NaN,NaN,505.458,NaN,1362.752,517.021,135.224,NaN,860.573,888.163,135.373,NaN,NaN,638.453
pms_industrial/atcoss/mesat/atcoss_mesat_07.wcnf,354212.0,1498595.0,0.0002,1.0,0.0,1.0,1.0,0.23636,1e-05,0.0,0.0,0.06019,0.06019,1e-05,0.0,0.0,1e-05,1e-05,0.48794,0.27409,0.0,1.0,1.0,0.45536,0.0,0.0,1.0,1.0,0.03825,0.22776,0.29038,0.0,0.0,0.0,0.03083,0.03083,0.47969,NaN,10.84,51.343,67.309,26.615,NaN,NaN,49.431,NaN,NaN,NaN,102.6,106.2,52.489,178.775,NaN,NaN,50.422,NaN,25.75,92.373,10.943,NaN,93.098,90.591,14.184,NaN,NaN,100.909
pms_industrial/atcoss/mesat/atcoss_mesat_08.wcnf,354674.0,1498961.0,0.0002,1.0,0.0,1.0,1.0,0.23661,1e-05,0.0,0.0,0.06017,0.06017,1e-05,0.0,0.0,1e-05,1e-05,0.48796,0.27413,0.0,1.0,1.0,0.45538,0.0,0.0,1.0,1.0,0.03826,0.22772,0.29055,0.0,0.0,0.0,0.03082,0.03082,0.47958,NaN,11.507,46.707,62.476,33.558,NaN,NaN,53.633,NaN,NaN,NaN,99.632,116.107,47.818,157.397,NaN,NaN,54.777,NaN,28.994,106.598,11.311,NaN,93.204,95.757,14.928,NaN,NaN,77.522
pms_industrial/atcoss/mesat/atcoss_mesat_09.wcnf,353206.0,1446941.0,0.00021,1.0,0.0,1.0,1.0,0.24411,1e-05,0.0,0.0,0.06234,0.06234,1e-05,0.0,0.0,1e-05,1e-05,0.48776,0.274,0.0,1.0,1.0,0.4567,0.0,0.0,1.0,1.0,0.03956,0.23507,0.29982,0.0,0.0,0.0,0.03193,0.03193,0.48418,NaN,26.361,262.421,167.963,181.51,NaN,NaN,229.077,NaN,NaN,NaN,257.925,299.105,148.183,386.363,NaN,NaN,219.73,NaN,186.457,221.03,26.44,NaN,124.514,136.587,48.007,NaN,NaN,299.532
pms_industrial/atcoss/mesat/atcoss_mesat_10.wcnf,333864.0,1078680.0,0.00028,1.0,0.0,1.0,1.0,0.30951,1e-05,0.0,0.0,0.08936,0.08936,1e-05,0.0,0.0,1e-05,1e-05,0.48303,0.27318,0.0,1.0,1.0,0.44494,0.0,0.0,1.0,1.0,0.04959,0.31227,0.39058,0.0,0.0,0.0,0.04574,0.04574,0.52848,NaN,1423.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1447.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/mesat/atcoss_mesat_11.wcnf,333424.0,1078359.0,0.00028,1.0,0.0,1.0,1.0,0.3092,1e-05,0.0,0.0,0.08938,0.08938,1e-05,0.0,0.0,1e-05,1e-05,0.48328,0.27383,0.0,1.0,1.0,0.44491,0.0,0.0,1.0,1.0,0.04957,0.31239,0.3904,0.0,0.0,0.0,0.04576,0.04576,0.52868,NaN,11.947,103.973,89.905,45.378,NaN,NaN,93.147,NaN,NaN,NaN,108.906,174.521,51.866,154.154,NaN,NaN,93.45,NaN,43.002,103.184,12.052,NaN,145.742,155.038,11.666,NaN,NaN,107.352
pms_industrial/atcoss/mesat/atcoss_mesat_12.wcnf,334172.0,1078872.0,0.00028,1.0,0.0,1.0,1.0,0.30974,1e-05,0.0,0.0,0.08934,0.08934,1e-05,0.0,0.0,1e-05,1e-05,0.48312,0.27331,0.0,1.0,1.0,0.44497,0.0,0.0,1.0,1.0,0.0496,0.31213,0.39069,0.0,0.0,0.0,0.04574,0.04574,0.52831,NaN,8.611,75.557,86.868,37.574,NaN,NaN,67.845,NaN,NaN,NaN,102.272,123.275,54.096,178.963,NaN,NaN,70.179,NaN,36.208,95.103,8.421,NaN,97.706,103.308,12.209,NaN,NaN,89.349
pms_industrial/atcoss/mesat/atcoss_mesat_13.wcnf,467197.0,1602868.0,0.00019,1.0,0.0,1.0,1.0,0.29148,1e-05,0.0,0.0,0.0989,0.0989,1e-05,0.0,0.0,1e-05,1e-05,0.4841,0.28162,0.0,1.0,1.0,0.44649,0.0,0.0,1.0,1.0,0.04731,0.28204,0.36156,0.0,0.0,0.0,0.05045,0.05045,0.51145,NaN,96.68,281.769,428.289,199.595,NaN,NaN,377.277,NaN,NaN,NaN,622.87,741.691,221.933,1033.654,NaN,NaN,412.113,NaN,182.44,591.737,93.257,NaN,553.505,552.129,43.192,NaN,NaN,565.701
pms_industrial/atcoss/mesat/atcoss_mesat_14.wcnf,465408.0,1600381.0,0.00019,1.0,0.0,1.0,1.0,0.29081,1e-05,0.0,0.0,0.09905,0.09905,1e-05,0.0,0.0,1e-05,1e-05,0.48479,0.27709,0.0,1.0,1.0,0.44645,0.0,0.0,1.0,1.0,0.04722,0.28113,0.36057,0.0,0.0,0.0,0.05053,0.05053,0.5109,NaN,115.633,363.777,605.102,311.146,NaN,NaN,519.724,NaN,NaN,NaN,892.538,1048.515,349.395,1492.344,NaN,NaN,521.011,NaN,375.222,762.701,110.165,NaN,825.522,825.2,69.318,NaN,NaN,760.222
pms_industrial/atcoss/mesat/atcoss_mesat_15.wcnf,465243.0,1600427.0,0.00019,1.0,0.0,1.0,1.0,0.2907,1e-05,0.0,0.0,0.09905,0.09905,1e-05,0.0,0.0,1e-05,1e-05,0.48413,0.28171,0.0,1.0,1.0,0.44643,0.0,0.0,1.0,1.0,0.04722,0.28134,0.36059,0.0,0.0,0.0,0.05053,0.05053,0.5111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/mesat/atcoss_mesat_16.wcnf,367011.0,1605959.0,0.00019,1.0,0.0,1.0,1.0,0.22853,1e-05,0.0,0.0,0.06002,0.06002,1e-05,0.0,0.0,1e-05,1e-05,0.48777,0.27351,0.0,1.0,1.0,0.45226,0.0,0.0,1.0,1.0,0.0369,0.21999,0.28059,0.0,0.0,0.0,0.03072,0.03072,0.47922,NaN,15.685,71.807,96.807,51.535,NaN,NaN,98.788,NaN,NaN,NaN,137.962,159.898,74.783,223.16,NaN,NaN,96.684,NaN,52.72,151.194,15.41,NaN,141.613,146.559,16.757,NaN,NaN,128.177
pms_industrial/atcoss/mesat/atcoss_mesat_17.wcnf,366573.0,1605640.0,0.00019,1.0,0.0,1.0,1.0,0.2283,1e-05,0.0,0.0,0.06003,0.06003,1e-05,0.0,0.0,1e-05,1e-05,0.48771,0.27354,0.0,1.0,1.0,0.45224,0.0,0.0,1.0,1.0,0.03689,0.22005,0.28044,0.0,0.0,0.0,0.03073,0.03073,0.47934,NaN,29.188,96.812,145.193,60.654,NaN,NaN,177.366,NaN,NaN,NaN,245.821,291.836,126.323,364.114,NaN,NaN,172.467,NaN,57.582,203.721,28.676,NaN,192.071,208.869,28.572,NaN,NaN,193.967
pms_industrial/atcoss/mesat/atcoss_mesat_18.wcnf,366276.0,1605464.0,0.00019,1.0,0.0,1.0,1.0,0.22814,1e-05,0.0,0.0,0.06004,0.06004,1e-05,0.0,0.0,1e-05,1e-05,0.48769,0.2735,0.0,1.0,1.0,0.45222,0.0,0.0,1.0,1.0,0.03688,0.22014,0.28036,0.0,0.0,0.0,0.03073,0.03073,0.47946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_01.wcnf,40854.0,372760.0,0.0008,1.0,0.0,1.0,1.0,0.1096,8e-05,2.71347,1e-05,0.00275,0.00275,8e-05,0.43129,2e-05,0.00027,0.00024,0.41232,0.48933,0.0,1.0,1.0,0.42163,0.65721,0.0,1.0,1.0,0.00098,0.22864,0.7276,6e-05,0.0,0.0,0.00138,0.00138,0.72433,NaN,41.339,66.778,57.077,119.955,NaN,NaN,52.696,NaN,1100.314,NaN,20.388,144.454,110.697,65.351,NaN,NaN,92.079,NaN,115.481,23.575,40.814,NaN,69.184,74.372,46.772,NaN,NaN,118.572
pms_industrial/atcoss/sugar/atcoss_sugar_02.wcnf,40788.0,377502.0,0.00079,1.0,0.0,1.0,1.0,0.10805,8e-05,2.69239,1e-05,0.00272,0.00271,8e-05,0.42586,2e-05,0.00027,0.00025,0.41792,0.48519,0.0,1.0,1.0,0.42378,0.65272,0.0,1.0,1.0,0.001,0.22902,0.73089,6e-05,0.0,0.0,0.00136,0.00136,0.72431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_03.wcnf,39860.0,381897.0,0.00079,1.0,0.0,1.0,1.0,0.10437,8e-05,2.52279,1e-05,0.00269,0.00268,8e-05,0.41553,3e-05,0.00028,0.00025,0.41226,0.48861,0.0,1.0,1.0,0.41911,0.6488,0.0,1.0,1.0,0.00091,0.21915,0.74601,6e-05,0.0,0.0,0.00135,0.00134,0.72518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_04.wcnf,53119.0,759090.0,0.0004,1.0,0.0,1.0,1.0,0.06998,7e-05,2.93234,0.0,0.00136,0.00136,7e-05,0.38724,2e-05,0.00021,0.00019,0.41189,0.51905,0.0,1.0,1.0,0.44629,0.66676,0.0,1.0,1.0,0.00043,0.14587,0.59653,4e-05,0.0,0.0,0.00069,0.00068,0.64847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_05.wcnf,53465.0,755089.0,0.0004,1.0,0.0,1.0,1.0,0.07081,7e-05,2.95307,0.0,0.00137,0.00136,7e-05,0.38938,2e-05,0.00021,0.00019,0.40659,0.52423,0.0,1.0,1.0,0.4449,0.67071,0.0,1.0,1.0,0.00042,0.14583,0.59468,4e-05,0.0,0.0,0.00069,0.00069,0.64852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_06.wcnf,51008.0,703326.0,0.00043,1.0,0.0,1.0,1.0,0.07252,7e-05,2.98103,0.0,0.00147,0.00146,7e-05,0.38049,2e-05,0.00022,0.0002,0.4084,0.52513,0.0,1.0,1.0,0.44728,0.65124,0.0,1.0,1.0,0.00052,0.14913,0.5984,4e-05,0.0,0.0,0.00074,0.00074,0.64654,NaN,69.932,120.899,121.04,382.857,NaN,NaN,119.145,NaN,NaN,NaN,108.408,308.232,250.365,164.482,NaN,NaN,120.852,NaN,323.001,86.451,72.448,NaN,207.251,216.352,87.657,NaN,NaN,162.799
pms_industrial/atcoss/sugar/atcoss_sugar_07.wcnf,52147.0,814915.0,0.00037,1.0,0.0,1.0,1.0,0.06399,7e-05,2.62014,0.0,0.00126,0.00126,7e-05,0.36276,2e-05,0.00021,0.00019,0.43456,0.52014,0.0,1.0,1.0,0.47324,0.66366,0.0,1.0,1.0,0.00043,0.13083,0.66458,4e-05,0.0,0.0,0.0009,0.0009,0.60888,NaN,5.949,17.911,20.079,26.469,NaN,NaN,17.341,NaN,1794.554,NaN,25.583,22.61,40.217,39.598,NaN,817.253,26.819,NaN,25.054,26.426,6.111,NaN,28.651,28.191,10.23,NaN,NaN,21.8
pms_industrial/atcoss/sugar/atcoss_sugar_08.wcnf,54019.0,831971.0,0.00036,1.0,0.0,1.0,1.0,0.06493,7e-05,2.60881,0.0,0.00124,0.00124,7e-05,0.35756,2e-05,0.0002,0.00019,0.43153,0.51925,0.0,1.0,1.0,0.46855,0.65882,0.0,1.0,1.0,0.00036,0.13294,0.6729,4e-05,0.0,0.0,0.00088,0.00088,0.61571,NaN,4.229,8.429,17.45,24.431,NaN,NaN,16.384,NaN,NaN,NaN,25.16,20.909,29.728,28.695,NaN,827.622,25.331,NaN,24.038,23.7,4.246,NaN,22.414,23.7,10.003,NaN,NaN,22.807
pms_industrial/atcoss/sugar/atcoss_sugar_09.wcnf,51221.0,819585.0,0.00037,1.0,0.0,1.0,1.0,0.0625,7e-05,2.55936,0.0,0.00126,0.00125,7e-05,0.35882,2e-05,0.00021,0.0002,0.43027,0.5238,0.0,1.0,1.0,0.47067,0.66092,0.0,1.0,1.0,0.00039,0.12681,0.67239,4e-05,0.0,0.0,0.0009,0.0009,0.61001,NaN,15.521,61.436,88.749,64.378,NaN,NaN,53.022,NaN,NaN,NaN,52.041,188.795,67.994,91.365,NaN,NaN,61.145,NaN,58.751,61.123,15.648,NaN,74.714,79.436,39.728,NaN,NaN,126.751
pms_industrial/atcoss/sugar/atcoss_sugar_10.wcnf,43861.0,423878.0,0.00071,1.0,0.0,1.0,1.0,0.10348,8e-05,2.75937,0.0,0.00242,0.00242,8e-05,0.40921,2e-05,0.00025,0.00023,0.41578,0.47962,0.0,1.0,1.0,0.43113,0.63453,0.0,1.0,1.0,0.00086,0.21828,0.73386,5e-05,0.0,0.0,0.00121,0.00121,0.70706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pms_industrial/atcoss/sugar/atcoss_sugar_11.wcnf,41820.0,403854.0,0.00074,1.0,0.0,1.0,1.0,0.10355,8e-05,2.66464,0.0,0.00242,0.00242,8e-05,0.39673,2e-05,0.00026,0.00024,0.41691,0.48151,0.0,1.0,1.0,0.43251,0.62372,0.0,1.0,1.0,0.00102,0.21871,0.74275,5e-05,0.0,0.0,0.00127,0.00127,0.70594,NaN,2.89,16.014,16.037,26.961,NaN,NaN,13.909,NaN,NaN,NaN,18.26,26.642,29.233,28.551,NaN,669.702,41.876,NaN,24.401,18.353,2.915,NaN,28.146,29.255,5.858,NaN,NaN,14.927
pms_industrial/atcoss/sugar/atcoss_sugar_12.wcnf,44774.0,413168.0,0.00073,1.0,0.0,1.0,1.0,0.10837,8e-05,2.7259,0.0,0.00237,0.00236,7e-05,0.40564,2e-05,0.00025,0.00022,0.41407,0.48138,0.0,1.0,1.0,0.43038,0.62627,0.0,1.0,1.0,0.00092,0.22716,0.74193,5e-05,0.0,0.0,0.00124,0.00124,0.7106,NaN,22.505,63.848,45.427,112.443,NaN,NaN,52.591,NaN,NaN,NaN,57.993,115.336,1132.297,586.678,NaN,NaN,84.757,NaN,104.191,72.437,21.855,NaN,61.788,67.575,118.808,NaN,NaN,100.594
pms_industrial/atcoss/sugar/atcoss_sugar_13.wcnf,59005.0,756005.0,0.0004,1.0,0.0,1.0,1.0,0.07805,6e-05,2.9937,0.0,0.00136,0.00136,6e-05,0.3893,2e-05,0.00019,0.00017,0.41046,0.5162,0.0,1.0,1.0,0.44731,0.64717,0.0,1.0,1.0,0.00045,0.16232,0.65839,4e-05,0.0,0.0,0.00069,0.00069,0.65311,NaN,40.918,42.722,94.706,70.159,NaN,NaN,90.418,NaN,NaN,NaN,127.6,151.115,155.907,186.199,NaN,NaN,98.091,NaN,61.789,130.388,39.213,NaN,133.414,131.164,29.111,NaN,NaN,115.095
pms_industrial/atcoss/sugar/atcoss_sugar_14.wcnf,56676.0,734466.0,0.00041,1.0,0.0,1.0,1.0,0.07717,6e-05,3.02426,0.0,0.0014,0.0014,6e-05,0.39137,2e-05,0.00019,0.00018,0.41318,0.51677,0.0,1.0,1.0,0.45056,0.65359,0.0,1.0,1.0,0.00053,0.16071,0.64496,4e-05,0.0,0.0,0.00071,0.00071,0.64822,NaN,61.239,89.96,124.061,74.942,NaN,NaN,108.44,NaN,NaN,NaN,179.604,230.905,207.731,253.976,NaN,NaN,124.017,NaN,61.281,175.382,62.335,NaN,188.34,180.134,31.193,NaN,NaN,175.84
pms_industrial/atcoss/sugar/atcoss_sugar_15.wcnf,55429.0,744265.0,0.0004,1.0,0.0,1.0,1.0,0.07447,7e-05,2.92789,0.0,0.00139,0.00138,6e-05,0.38599,2e-05,0.0002,0.00018,0.41367,0.51508,0.0,1.0,1.0,0.44903,0.6479,0.0,1.0,1.0,0.0005,0.15584,0.65625,4e-05,0.0,0.0,0.0007,0.0007,0.64926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
