Instances,feature_ stats_varcount,feature_ stats_var_bool,feature_ stats_var_discrete,feature_ stats_var_bound,feature_ stats_var_sparsebound,feature_ stats_dom_0,feature_ stats_dom_25,feature_ stats_dom_50,feature_ stats_dom_75,feature_ stats_dom_100,feature_ stats_dom_mean,feature_ stats_dom_not2_2_ratio,feature_ stats_discrete_bool_ratio,feature_ stats_branchingvars,feature_ stats_auxvars,feature_ stats_auxvar_branching_ratio,feature_ stats_conscount,feature_ stats_arity_0,feature_ stats_arity_25,feature_ stats_arity_50,feature_ stats_arity_75,feature_ stats_arity_100,feature_ stats_arity_mean,feature_ stats_arity_mean_normalised,feature_ stats_cts_per_var_mean,feature_ stats_cts_per_var_mean_normalised,feature_ stats_alldiff_count,feature_ stats_alldiff_proportion,feature_ stats_sums_count,feature_ stats_sums_proportion,feature_ stats_or_atleastk_count,feature_ stats_or_atleastk_proportion,feature_ stats_ternary_count,feature_ stats_ternary_proportion,feature_ stats_binary_count,feature_ stats_binary_proportion,feature_ stats_reify_count,feature_ stats_reify_proportion,feature_ stats_table_count,feature_ stats_table_proportion,feature_ stats_lex_count,feature_ stats_lex_proportion,feature_ stats_unary_count,feature_ stats_unary_proportion,feature_ stats_nullary_count,feature_ stats_nullary_proportion,feature_ stats_element_count,feature_ stats_element_proportion,feature_ stats_minmax_count,feature_ stats_minmax_proportion,feature_ stats_occurrence_count,feature_ stats_occurrence_proportion,feature_ stats_multi_shared_vars,feature_ stats_edge_density,feature_ stats_Local_Variance,feature_ standard_deviation_of_node_degree,feature_ normalised_standard_deviation_of_node_degree,feature_ clustering_coefficient,feature_ minimum_degree,feature_ normalised_minimum_degree,feature_ maximum_degree,feature_ normalised_maximum_degree,feature_ median_degree,feature_ normalised_median_degree,feature_ mean_degree,feature_ normalised_mean_degree,feature_ width_of_ordering,feature_ normalised_width_of_ordering,feature_ width_of_graph,feature_ normalised_width_of_graph,feature_ SAC_literals,feature_ normalised_SAC_literals,feature_ stats_tightness_0,feature_ stats_tightness_25,feature_ stats_tightness_50,feature_ stats_tightness_75,feature_ stats_tightness_100,feature_ stats_tightness_mean,feature_ stats_tightness_mean_normalised,feature_ stats_literal_tightness_0,feature_ stats_literal_tightness_25,feature_ stats_literal_tightness_50,feature_ stats_literal_tightness_75,feature_ stats_literal_tightness_100,feature_ stats_literal_tightness_mean,feature_ stats_literal_tightness_coeff_of_variation,algo_standard,algo_learning
1-insertions-5-5.xml.watchless.minion.gz,202.0,0.0,202.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,202.0,0.0,0.0,1227.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009901,12.148515,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06044,0.243809,184.0,184.0,184.0,184.0,184.0,184.0,0.149959,6.657663102947888,0.03295872823241528,0.0,5.0,0.02475247524752475,67.0,0.3316831683168317,10.0,0.04950495049504951,12.14851485148515,0.0601411626311146,67.0,0.3316831683168317,8.0,0.0396039603960396,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,NaN,NaN
1-insertions-5-6.xml.watchless.minion.gz,202.0,0.0,202.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,202.0,0.0,0.0,1227.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009901,12.148515,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06044,0.243809,169.0,169.0,169.0,169.0,169.0,169.0,0.137734,6.657663102947888,0.03295872823241528,0.0,5.0,0.02475247524752475,67.0,0.3316831683168317,10.0,0.04950495049504951,12.14851485148515,0.0601411626311146,67.0,0.3316831683168317,8.0,0.0396039603960396,0.0,0.0,13.0,14.0,18.0,19.0,20.0,16.666667,0.153623,0.177973,0.203969
1-insertions-6-4.xml.watchless.minion.gz,607.0,0.0,607.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,607.0,0.0,0.0,6337.0,2.0,2.0,2.0,2.0,2.0,2.0,0.003295,20.879736,0.003295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034455,0.159787,263.0,263.0,263.0,263.0,263.0,263.0,0.041502,14.64450916538123,0.02412604475351108,0.0,6.0,0.009884678747940691,202.0,0.3327841845140033,18.0,0.02965403624382208,20.87973640856672,0.0343982477900605,202.0,0.3327841845140033,14.0,0.02306425041186162,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,NaN,NaN
1-insertions-6-5.xml.watchless.minion.gz,607.0,0.0,607.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,607.0,0.0,0.0,6337.0,2.0,2.0,2.0,2.0,2.0,2.0,0.003295,20.879736,0.003295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034455,0.159787,184.0,184.0,184.0,184.0,184.0,184.0,0.029036,14.64450916538123,0.02412604475351108,0.0,6.0,0.009884678747940691,202.0,0.3327841845140033,18.0,0.02965403624382208,20.87973640856672,0.0343982477900605,202.0,0.3327841845140033,14.0,0.02306425041186162,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,NaN,NaN
1-insertions-6-6.xml.watchless.minion.gz,607.0,0.0,607.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,607.0,0.0,0.0,6337.0,2.0,2.0,2.0,2.0,2.0,2.0,0.003295,20.879736,0.003295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034455,0.159787,169.0,169.0,169.0,169.0,169.0,169.0,0.026669,14.64450916538123,0.02412604475351108,0.0,6.0,0.009884678747940691,202.0,0.3327841845140033,18.0,0.02965403624382208,20.87973640856672,0.0343982477900605,202.0,0.3327841845140033,14.0,0.02306425041186162,0.0,0.0,13.0,14.0,18.0,19.0,20.0,16.666667,0.153623,NaN,NaN
1-insertions-6-7.xml.watchless.minion.gz,607.0,0.0,607.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,607.0,0.0,0.0,6337.0,2.0,2.0,2.0,2.0,2.0,2.0,0.003295,20.879736,0.003295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034455,0.159787,154.0,154.0,154.0,154.0,154.0,154.0,0.024302,14.64450916538123,0.02412604475351108,0.0,6.0,0.009884678747940691,202.0,0.3327841845140033,18.0,0.02965403624382208,20.87973640856672,0.0343982477900605,202.0,0.3327841845140033,14.0,0.02306425041186162,0.0,0.0,12.0,13.0,13.0,16.0,19.0,14.285714,0.15748,0.26496,0.309952
2-fullins-3-4.xml.watchless.minion.gz,52.0,0.0,52.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,52.0,0.0,0.0,201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.038462,7.730769,0.038462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151584,0.331856,263.0,263.0,263.0,263.0,263.0,263.0,1.308458,3.0199043834544,0.0580750842972,0.06383616383616383,4.0,0.07692307692307693,15.0,0.2884615384615384,7.0,0.1346153846153846,7.730769230769231,0.1486686390532544,15.0,0.2884615384615384,5.0,0.09615384615384616,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.025996,0.039994
2-fullins-3-5.xml.watchless.minion.gz,52.0,0.0,52.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,52.0,0.0,0.0,201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.038462,7.730769,0.038462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151584,0.331856,184.0,184.0,184.0,184.0,184.0,184.0,0.915423,3.0199043834544,0.0580750842972,0.06383616383616383,4.0,0.07692307692307693,15.0,0.2884615384615384,7.0,0.1346153846153846,7.730769230769231,0.1486686390532544,15.0,0.2884615384615384,5.0,0.09615384615384616,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,0.162975,0.182972
2-fullins-4-4.xml.watchless.minion.gz,212.0,0.0,212.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,212.0,0.0,0.0,1621.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009434,15.292453,0.009434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072476,0.205428,263.0,263.0,263.0,263.0,263.0,263.0,0.162246,8.191075425433068,0.03863714823317485,0.02188210371668959,6.0,0.02830188679245283,55.0,0.2594339622641509,13.0,0.06132075471698113,15.29245283018868,0.07213421146315414,55.0,0.2594339622641509,10.0,0.04716981132075472,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.040994,0.054992
2-fullins-4-5.xml.watchless.minion.gz,212.0,0.0,212.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,212.0,0.0,0.0,1621.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009434,15.292453,0.009434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072476,0.205428,184.0,184.0,184.0,184.0,184.0,184.0,0.11351,8.191075425433068,0.03863714823317485,0.02188210371668959,6.0,0.02830188679245283,55.0,0.2594339622641509,13.0,0.06132075471698113,15.29245283018868,0.07213421146315414,55.0,0.2594339622641509,10.0,0.04716981132075472,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,0.153977,0.45993
2-fullins-4-6.xml.watchless.minion.gz,212.0,0.0,212.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,212.0,0.0,0.0,1621.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009434,15.292453,0.009434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072476,0.205428,169.0,169.0,169.0,169.0,169.0,169.0,0.104257,8.191075425433068,0.03863714823317485,0.02188210371668959,6.0,0.02830188679245283,55.0,0.2594339622641509,13.0,0.06132075471698113,15.29245283018868,0.07213421146315414,55.0,0.2594339622641509,10.0,0.04716981132075472,0.0,0.0,13.0,14.0,18.0,19.0,20.0,16.666667,0.153623,0.182972,0.207968
2-fullins-5-4.xml.watchless.minion.gz,852.0,0.0,852.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,852.0,0.0,0.0,12201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.002347,28.640845,0.002347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033656,0.122158,263.0,263.0,263.0,263.0,263.0,263.0,0.021556,20.42988980410619,0.02397874390153308,0.007850991884943074,8.0,0.009389671361502348,215.0,0.2523474178403756,25.0,0.02934272300469484,28.64084507042254,0.03361601534087152,215.0,0.2523474178403756,18.0,0.02112676056338028,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.166974,0.178972
2-fullins-5-5.xml.watchless.minion.gz,852.0,0.0,852.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,852.0,0.0,0.0,12201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.002347,28.640845,0.002347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033656,0.122158,184.0,184.0,184.0,184.0,184.0,184.0,0.015081,20.42988980410619,0.02397874390153308,0.007850991884943074,8.0,0.009389671361502348,215.0,0.2523474178403756,25.0,0.02934272300469484,28.64084507042254,0.03361601534087152,215.0,0.2523474178403756,18.0,0.02112676056338028,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,0.489926,0.830874
2-fullins-5-6.xml.watchless.minion.gz,852.0,0.0,852.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,852.0,0.0,0.0,12201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.002347,28.640845,0.002347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033656,0.122158,169.0,169.0,169.0,169.0,169.0,169.0,0.013851,20.42988980410619,0.02397874390153308,0.007850991884943074,8.0,0.009389671361502348,215.0,0.2523474178403756,25.0,0.02934272300469484,28.64084507042254,0.03361601534087152,215.0,0.2523474178403756,18.0,0.02112676056338028,0.0,0.0,13.0,14.0,18.0,19.0,20.0,16.666667,0.153623,256.248044,NaN
2-fullins-5-7.xml.watchless.minion.gz,852.0,0.0,852.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,852.0,0.0,0.0,12201.0,2.0,2.0,2.0,2.0,2.0,2.0,0.002347,28.640845,0.002347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033656,0.122158,154.0,154.0,154.0,154.0,154.0,154.0,0.012622,20.42988980410619,0.02397874390153308,0.007850991884943074,8.0,0.009389671361502348,215.0,0.2523474178403756,25.0,0.02934272300469484,28.64084507042254,0.03361601534087152,215.0,0.2523474178403756,18.0,0.02112676056338028,0.0,0.0,12.0,13.0,13.0,16.0,19.0,14.285714,0.15748,0.380943,0.429934
2-insertions-3-3.xml.watchless.minion.gz,37.0,0.0,37.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,37.0,0.0,0.0,72.0,2.0,2.0,2.0,2.0,2.0,2.0,0.054054,3.891892,0.054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108108,0.458347,324.0,324.0,324.0,324.0,324.0,324.0,4.5,0.9524870371192484,0.02574289289511482,0.0,3.0,0.08108108108108109,9.0,0.2432432432432433,4.0,0.1081081081081081,3.891891891891892,0.1051862673484295,9.0,0.2432432432432433,3.0,0.08108108108108109,0.0,0.0,32.0,32.0,33.0,35.0,35.0,33.333333,0.037417,0.043993,0.218967
