Instances,feature_ DIAMETERmean,feature_ DIAMETERcoeffvariation,feature_ DIAMETERmin,feature_ DIAMETERmax,feature_ DIAMETERentropy,feature_ LOBJOISlobjoismeandepthovervars,feature_ LOBJOISlobjoislognumnodesovervars,feature_ BASEnvarsOrig,feature_ BASEnclausesOrig,feature_ BASEnvars,feature_ BASEnclauses,feature_ BASEreducedVars,feature_ BASEreducedClauses,feature_ BASEvarsclausesratio,feature_ BASEPOSNEGRATIOCLAUSEmean,feature_ BASEPOSNEGRATIOCLAUSEcoeffvariation,feature_ BASEPOSNEGRATIOCLAUSEmin,feature_ BASEPOSNEGRATIOCLAUSEmax,feature_ BASEPOSNEGRATIOCLAUSEentropy,feature_ BASEVCGCLAUSEmean,feature_ BASEVCGCLAUSEcoeffvariation,feature_ BASEVCGCLAUSEmin,feature_ BASEVCGCLAUSEmax,feature_ BASEVCGCLAUSEentropy,feature_ BASEUNARY,feature_ BASEBINARY+,feature_ BASETRINARY+,feature_ BASEVCGVARmean,feature_ BASEVCGVARcoeffvariation,feature_ BASEVCGVARmin,feature_ BASEVCGVARmax,feature_ BASEVCGVARentropy,feature_ BASEPOSNEGRATIOVARmean,feature_ BASEPOSNEGRATIOVARstdev,feature_ BASEPOSNEGRATIOVARmin,feature_ BASEPOSNEGRATIOVARmax,feature_ BASEPOSNEGRATIOVARentropy,feature_ BASEHORNYVARmean,feature_ BASEHORNYVARcoeffvariation,feature_ BASEHORNYVARmin,feature_ BASEHORNYVARmax,feature_ BASEHORNYVARentropy,feature_ BASEhornclausesfraction,feature_ BASEVGmean,feature_ BASEVGcoeffvariation,feature_ BASEVGmin,feature_ BASEVGmax,feature_ BASECGmean,feature_ BASECGcoeffvariation,feature_ BASECGmin,feature_ BASECGmax,feature_ BASECGentropy,feature_ BASEclustercoeffmean,feature_ BASEclustercoeffcoeffvariation,feature_ BASEclustercoeffmin,feature_ BASEclustercoeffmax,feature_ BASEclustercoeffentropy,feature_ UNITvarsreduceddepth1,feature_ UNITvarsreduceddepth4,feature_ UNITvarsreduceddepth16,feature_ UNITvarsreduceddepth64,feature_ UNITvarsreduceddepth256,feature_ SPbiasmean,feature_ SPbiascoeffvariation,feature_ SPbiasmin,feature_ SPbiasmax,feature_ SPbiasq90,feature_ SPbiasq10,feature_ SPbiasq75,feature_ SPbiasq25,feature_ SPbiasq50,feature_ SPunconstraintmean,feature_ SPunconstraintcoeffvariation,feature_ SPunconstraintmin,feature_ SPunconstraintmax,feature_ SPunconstraintq90,feature_ SPunconstraintq10,feature_ SPunconstraintq75,feature_ SPunconstraintq25,feature_ SPunconstraintq50,feature_ LSsaps_BestSolution_Mean,feature_ LSsaps_BestSolution_CoeffVariance,feature_ LSsaps_FirstLocalMinStep_Mean,feature_ LSsaps_FirstLocalMinStep_CoeffVariance,feature_ LSsaps_FirstLocalMinStep_Median,feature_ LSsaps_FirstLocalMinStep_Q.10,feature_ LSsaps_FirstLocalMinStep_Q.90,feature_ LSsaps_BestAvgImprovement_Mean,feature_ LSsaps_BestAvgImprovement_CoeffVariance,feature_ LSsaps_FirstLocalMinRatio_Mean,feature_ LSsaps_FirstLocalMinRatio_CoeffVariance,feature_ LSgsat_BestSolution_Mean,feature_ LSgsat_BestSolution_CoeffVariance,feature_ LSgsat_FirstLocalMinStep_Mean,feature_ LSgsat_FirstLocalMinStep_CoeffVariance,feature_ LSgsat_FirstLocalMinStep_Median,feature_ LSgsat_FirstLocalMinStep_Q.10,feature_ LSgsat_FirstLocalMinStep_Q.90,feature_ LSgsat_BestAvgImprovement_Mean,feature_ LSgsat_BestAvgImprovement_CoeffVariance,feature_ LSgsat_FirstLocalMinRatio_Mean,feature_ LSgsat_FirstLocalMinRatio_CoeffVariance,feature_ LP_OBJ,feature_ LPSLackmean,feature_ LPSLackcoeffvariation,feature_ LPSLackmin,feature_ LPSLackmax,feature_ LPlpIntRatio,algo_CTSat+default,algo_CTSat_noproof+default,algo_CaDiCaL-sc2020+default,algo_DurianSat+default,algo_ExMapleLCMDistChronoBT+PADC_DL,algo_ExMapleLCMDistChronoBT+PADC_DL_OVAU_Exp,algo_ExMapleLCMDistChronoBT+PADC_DL_OVAU_Lin,algo_ExMapleLCMDistChronoBT+PSIDS_DL,algo_GlucoseEsbpSel+default,algo_Kissat-sc2020-default+default,algo_Kissat-sc2020-sat+default,algo_Kissat-sc2020-unsat+default,algo_MLCMDCHRONOBT-DL-V2.2SCAVELRFV+default,algo_MLCMDChronoBT-DL-Scavel+default,algo_Maple-LCM-Dist-alluip-trail+default,algo_MapleCOMSPS_LRB_VSIDS_2+LRB_VSIDS_2_init,algo_MapleCOMSPS_LRB_VSIDS_2+default_drup,algo_MapleLCMDistChronoBT-DL-Scavel01+default,algo_MapleLCMDistChronoBT-DL-Scavel02+default,algo_MapleLCMDistChronoBT-DL-f2trc+default,algo_MapleLCMDistChronoBT-DL-v3+default,algo_MapleLCMDistChronoBT-f2trc+default,algo_MapleLCMDistChronoBT-f2trc-s+default,algo_Maple_CM+dist+default,algo_Maple_CM+dist+sattime2s+-+default,algo_Maple_CM+dist+simp2--+default,algo_Maple_CMused+dist+default,algo_Maple_mix+default,algo_Maple_simp+default,algo_ParaFROST+default,algo_ParaFROST_ALL+default,algo_ParaFROST_CBT+default,algo_ParaFROST_HRE+default,algo_PauSat+default,algo_PauSat_noproof+default,algo_PauSat_noproof+noproof,algo_Relaxed_LCMDCBDL+default,algo_Relaxed_LCMDCBDL_newTech+default,algo_Relaxed_LCMDCBDL_noTimePara+default,algo_Riss+NOUNSAT_proof-fixed,algo_Riss+default_proof,algo_Riss-nolimit+NOLIMIT,algo_SLIME+default,algo_SLIME+default-no-drup,algo_Top16-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Top24-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Top36-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_abcdsat_n20+default,algo_cadical-alluip+default,algo_cadical-alluip-trail+default,algo_cadical-trail+default,algo_cryptominisat-ccnr+default,algo_cryptominisat-ccnr-lsids+default,algo_cryptominisat-ccnr-lsids-nolimits+default,algo_cryptominisat-ccnr-nolimits+default,algo_cryptominisat-walksat+default,algo_cryptominisat-walksat-nolimits+default,algo_exp_L_MLD_CBT_DL+default,algo_exp_V_LGB_MLD_CBT_DL+default,algo_exp_V_L_MLD_CBT_DL+default,algo_exp_V_MLD_CBT_DL+default,algo_glucose-3.0-inprocess+default,algo_glucose3.0+proofs,algo_mergesat+default,algo_optsat_m20+default,algo_upGlucose-3.0_PADC+default
DLTM_twitter454_70_12.cnf,9.291833333,0.079353289,7.0,11.0,1.110886073,0.223483408,0.693772433,11864.0,61400.0,8944.0,54260.0,0.32647585,0.131588647,0.164835975,0.223878007,0.803120914,0.0,1.0,0.806985139,0.000301652,0.211217622,0.000223614,0.001006261,0.811265141,0.0,0.347991154,0.960762993,0.000301652,0.743588678,0.000129008,0.001824548,2.811508639,0.110923861,0.08031737,0.0,0.692307692,2.545391291,0.000181932,0.703822347,7.3719e-05,0.001050498,2.485036702,0.653464799,0.000256344,0.805693423,9.2149e-05,0.001787689,0.000574588,0.803919596,0.000110579,0.003262072,4.066719491,0.123206797,0.606052831,0.011362915,0.454545455,3.26107341,0.0,0.0,0.00313059,0.00313059,0.00313059,0.448404176,0.525569534,4.2e-08,0.969439537,0.75161305,0.090970594,0.605035547,0.267661675,0.470815038,0.016592438,1.100516939,0.0,0.123217323,0.037030004,0.000313449,0.024071948,0.003509061,0.010914526,436.818181818,3.53318659,2611.09090909,0.180134072,2686.0,2651.0,2726.0,0.981588171,0.349937342,0.859852821,0.179670762,204.5,0.613505352,2691.27272727,0.012674373,2692.5,2643.0,2735.0,0.505658234,0.653285275,0.8906832,0.015992622,NaN,NaN,NaN,NaN,NaN,NaN,409.698,406.992,140.197,1013.58,883.448,772.046,641.943,746.572,2023.14,258.883,222.397,390.356,482.383,507.127,492.101,886.604,481.363,409.619,585.116,499.9,722.036,563.174,399.405,546.862,807.486,636.153,303.393,1042.27,1236.54,2408.05,NaN,2504.48,NaN,NaN,NaN,NaN,550.764,319.626,317.085,115.528,1625.09,116.645,745.532,909.632,NaN,NaN,NaN,889.901,2361.91,29.2761,29.226,511.166,915.573,404.008,614.021,1208.58,1001.29,869.003,822.197,922.176,803.692,507.688,1239.84,380.867,1127.12,1002.44,864.631
DLTM_twitter634_77_14.cnf,9.500444444,0.09549172,7.0,12.0,1.301627701,0.190621328,0.586445188,19830.0,118322.0,16039.0,109158.0,0.236361369,0.083951703,0.146933802,0.237008662,0.692884832,0.0,1.0,0.720280977,0.000170333,0.201487459,0.000124696,0.000810524,0.726453683,0.0,0.299217648,0.975045347,0.000170333,0.737321669,7.3288e-05,0.0012459,3.039320199,0.087805406,0.068709511,0.0,0.779527559,2.566014577,0.000101283,0.681173998,3.6644e-05,0.000778688,2.748463587,0.636856666,0.00015005,0.786723252,4.5805e-05,0.001172612,0.00033027,0.734897603,5.4966e-05,0.002959014,4.266759099,0.093829527,0.64112957,0.007087486,0.454545455,3.017141648,0.0,0.0,0.001870441,0.001870441,0.001870441,0.344833508,0.622790755,2e-09,0.981919086,0.648806368,0.054063908,0.480128846,0.165073582,0.344697945,0.011250251,1.368217705,0.0,0.124991472,0.025872711,2.954e-05,0.018882905,0.000957912,0.004614516,1098.54545455,2.732457361,4653.27272727,0.331773137,5103.0,5065.0,5147.0,1.311253137,0.970398296,1.029111554,0.438028029,303.0625,0.780124836,5094.5625,0.008922198,5090.0,5047.0,5116.0,0.496382234,0.81792874,0.896984748,0.014656428,NaN,NaN,NaN,NaN,NaN,NaN,1206.72,1205.54,51.3514,NaN,653.843,1864.35,2786.17,1127.0,2546.62,346.908,443.313,1953.3,1638.86,3175.22,1633.8,481.646,1216.86,3898.32,1253.49,1419.66,169.82,650.166,703.608,779.873,1822.22,4299.87,3825.51,1100.82,640.046,358.51,NaN,763.504,NaN,NaN,NaN,NaN,274.304,203.336,191.276,123.328,401.67,129.511,673.337,393.778,NaN,NaN,NaN,255.565,624.504,303.921,291.571,275.036,742.251,423.798,718.157,1008.8,1548.74,4482.14,1316.26,2585.25,1325.03,2759.1,3932.89,1189.52,1415.98,3809.37,3116.49
DLTM_twitter690_74_15.cnf,9.096690461,0.121375666,7.0,12.0,1.374552239,0.171887075,0.537198084,34886.0,217180.0,30728.0,207172.0,0.135316324,0.048307686,0.148321202,0.233333513,0.683732752,0.0,1.0,0.669205088,8.8372e-05,0.190290173,6.5087e-05,0.000520698,0.685035906,0.0,0.301744444,0.986035758,8.8372e-05,0.675198842,3.8615e-05,0.000801267,2.90814023,0.080149611,0.054056511,0.0,0.843373494,2.444582402,5.3055e-05,0.666679089,2.4135e-05,0.000482691,2.701481848,0.641698685,7.7673e-05,0.68171987,2.8961e-05,0.000791613,0.000160133,0.653563948,2.8961e-05,0.002509992,4.093865579,0.089925092,0.571337662,0.003890761,0.454545455,2.854902773,0.0,0.0,0.000846134,0.000846134,0.000846134,0.317652209,0.59884626,0.0,0.988822689,0.548835072,0.057055387,0.436109374,0.158457481,0.332702036,0.009048133,1.283451775,0.0,0.125503385,0.020983011,5.3335e-05,0.018021375,0.000455761,0.00411913,1552.0,1.166897454,9878.0,0.004145697,9885.0,9834.0,9885.0,1.75020591,0.554485892,0.927721465,0.057670871,1283.0,1.852468417,8335.66666667,0.489968569,10009.5,0.0,10049.0,0.863543643,1.362983552,0.945545787,0.143824381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DLTM_twitter690_74_16.cnf,9.205393001,0.120551138,7.0,12.0,1.404894635,0.172378795,0.654701638,34886.0,217180.0,30747.0,207612.0,0.134614759,0.046085968,0.148098376,0.233458747,0.679102134,0.0,1.0,0.665508182,8.8373e-05,0.189869804,6.5047e-05,0.000520376,0.683535545,0.0,0.30002601,0.986055719,8.8373e-05,0.680653296,3.8533e-05,0.000799568,2.913335778,0.079878048,0.053849752,0.0,0.843373494,2.440319685,5.2998e-05,0.668241415,2.4083e-05,0.000481668,2.703485708,0.640882993,7.7698e-05,0.689006186,2.89e-05,0.000789935,0.000161185,0.666420307,2.89e-05,0.002504672,4.105264182,0.089740948,0.573505478,0.003890761,0.454545455,2.858465229,0.0,0.0,0.000845611,0.000845611,0.000845611,0.317063722,0.600611581,0.0,0.988822702,0.548695214,0.056244434,0.435961981,0.157624001,0.332462568,0.009044347,1.283865319,0.0,0.125503416,0.020982991,4.8863e-05,0.018021291,0.00045415,0.0041168,1650.33333333,1.164596395,9973.33333333,0.002560911,9975.0,9947.0,9975.0,1.819407606,0.55392197,0.930944911,0.064244059,1265.83333333,1.80180291,8254.16666667,0.489903204,9894.5,0.0,9920.0,0.8741001,1.317002875,0.943363485,0.139897742,NaN,NaN,NaN,NaN,NaN,NaN,3827.22,2687.98,689.072,1103.25,1274.17,438.323,709.152,437.606,207.506,120.154,309.353,127.085,2929.42,3494.83,2733.59,3797.66,1179.86,3247.65,NaN,693.184,1104.4,1439.41,NaN,2789.83,2512.07,3360.85,3009.95,985.759,832.862,1397.71,NaN,165.923,NaN,NaN,NaN,NaN,1760.24,366.25,373.767,42.9504,428.343,42.6433,80.8548,433.668,3762.62,3767.92,3757.58,468.065,794.39,105.986,103.855,224.151,277.231,728.298,752.803,204.536,1934.18,769.312,2880.41,2843.1,2965.96,2630.17,1751.12,317.125,346.134,182.672,905.467
DLTM_twitter774_83_17.cnf,9.417660209,0.100550907,7.0,12.0,1.336215562,0.208646592,0.603649111,21208.0,122064.0,17045.0,112639.0,0.244235846,0.083674393,0.151324142,0.233028839,0.713898294,0.0,1.0,0.732847688,0.000159957,0.216081152,0.000117336,0.001173365,0.744516017,0.0,0.309351113,0.972824688,0.000159957,0.793124618,7.1023e-05,0.001686805,2.991708815,0.095727738,0.074029849,0.0,0.852631579,2.592879621,9.5179e-05,0.731352096,3.5512e-05,0.00085228,2.680401081,0.638668667,0.000141784,0.860566705,5.3268e-05,0.001669049,0.000324521,0.830033254,5.3268e-05,0.004110477,4.283452007,0.101531197,0.663024118,0.004601328,0.454545455,3.12585793,0.0,0.0,0.00199472,0.00199472,0.00199472,0.378045696,0.60211112,0.0,0.993053013,0.687579709,0.060667628,0.527011103,0.193177144,0.393217077,0.013150315,1.272875175,0.0,0.126381768,0.030128315,7.7256e-05,0.020084113,0.001443032,0.005864687,376.444444444,1.395184012,5307.33333333,0.00800169,5306.0,5248.0,5357.0,1.061345811,0.633308091,0.8980522,0.032631086,314.071428571,0.261688158,5332.64285714,0.011891648,5307.0,5271.0,5401.0,0.449881986,0.447629205,0.892275014,0.004527365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3700.15,NaN,NaN,NaN,NaN,565.631,NaN,183.963,1887.81,NaN,1338.24,NaN,2833.64,NaN,NaN,NaN,NaN,NaN,NaN,1941.65,1064.12,NaN,NaN,1796.63,NaN,3775.25,2049.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,509.451,177.362,226.256,NaN,896.361,NaN,2577.06,NaN,NaN,NaN,NaN,1742.84,NaN,997.015,1004.86,4102.3,330.392,695.745,1359.58,152.537,1272.17,735.43,2038.54,NaN,2060.02,4536.0,NaN,NaN,NaN,3629.29,NaN
DLTM_twitter799_70_12.cnf,9.366142629,0.092081422,7.0,12.0,1.260714272,0.208588874,0.617716032,15954.0,88840.0,12552.0,80298.0,0.271032505,0.106378739,0.156317717,0.230950107,0.740750315,0.0,1.0,0.759858568,0.00021617,0.211611617,0.000159337,0.001035692,0.759889232,0.0,0.323108919,0.971020449,0.00021617,0.715881885,8.7175e-05,0.001693691,2.948145972,0.097100764,0.074160211,0.0,0.808823529,2.618754412,0.000129996,0.676655593,4.9814e-05,0.000909114,2.632271607,0.646628808,0.00018858,0.756671471,6.2268e-05,0.001668784,0.000402793,0.739528249,7.4722e-05,0.003810805,4.125938916,0.103314529,0.610828554,0.007178828,0.454545455,3.09001625,0.0,0.0,0.00223072,0.00223072,0.00223072,0.376370683,0.573703484,4.2e-08,0.98312723,0.676152049,0.066738333,0.513844816,0.214500392,0.397935495,0.013352462,1.329290091,0.0,0.125473558,0.02971092,0.000122604,0.019642227,0.001191007,0.005506156,191.823529412,0.463305873,3923.23529412,0.00839912,3928.0,3877.0,3961.0,0.986115072,0.251870252,0.888926397,0.007271251,258.75,0.850973125,3927.5,0.012314108,3937.0,3860.0,3962.0,0.499177087,0.884280941,0.895124356,0.018717492,NaN,NaN,NaN,NaN,NaN,NaN,611.729,616.464,1026.7,652.67,609.991,557.577,597.972,662.154,1302.64,1184.91,1542.23,1135.12,463.471,475.445,431.366,733.697,733.877,474.5,422.582,654.626,701.611,690.617,488.319,472.545,565.078,479.285,478.322,697.702,807.608,2659.38,2857.41,2496.55,2849.15,NaN,NaN,NaN,659.357,754.539,866.215,3318.57,1499.22,1820.01,671.816,805.542,2867.71,2846.7,2866.34,603.095,797.139,856.616,852.317,923.704,751.053,824.294,784.374,799.572,780.542,802.144,462.709,482.45,441.363,464.189,NaN,930.413,760.753,885.279,1390.62
DLTM_twitter799_70_13.cnf,9.349534884,0.091597253,7.0,12.0,1.253742819,0.221074506,0.646081784,15954.0,88840.0,12549.0,80276.0,0.271336361,0.106681947,0.156323185,0.231083989,0.74054281,0.0,1.0,0.759920036,0.000216242,0.211567202,0.000159375,0.001035939,0.759744389,0.0,0.322861129,0.971012507,0.000216242,0.715761013,8.7199e-05,0.001694155,2.947542322,0.097088265,0.074249504,0.0,0.808823529,2.62045102,0.000129994,0.675674195,4.9828e-05,0.000909363,2.631900357,0.646407394,0.000188651,0.756590294,6.2285e-05,0.001669241,0.000402835,0.739705797,7.4742e-05,0.003811849,4.125731413,0.103323969,0.610810971,0.007178828,0.454545455,3.090431118,0.0,0.0,0.002231253,0.002231253,0.002231253,0.376343007,0.573925068,4.2e-08,0.983127234,0.676170283,0.066643784,0.513844821,0.214705968,0.398037839,0.013354915,1.32913893,0.0,0.125473563,0.02976771,0.000122593,0.019642227,0.001191605,0.005506153,579.388888889,2.922126374,3696.33333333,0.249894857,3919.0,3788.0,3965.0,1.166502562,0.842473407,0.963432545,0.326956891,343.730769231,2.034057716,3780.84615385,0.204633157,3926.5,3844.0,4003.0,0.557533993,1.135654905,0.910833406,0.110591729,NaN,NaN,NaN,NaN,NaN,NaN,847.02,840.28,599.442,716.075,1392.02,261.618,406.071,315.354,3517.77,71.0917,255.851,371.411,317.114,287.285,474.122,799.321,1926.23,838.926,1063.34,574.11,752.048,805.853,131.484,1186.73,790.832,903.026,903.869,631.001,784.301,1983.67,NaN,694.036,NaN,NaN,NaN,NaN,243.913,176.426,265.831,25.7472,195.058,25.9472,746.99,1017.78,861.301,879.596,876.724,987.508,766.561,65.1272,64.5366,170.809,1280.49,381.052,187.672,618.755,1229.18,1265.92,421.133,1214.97,425.001,289.401,NaN,2879.53,238.16,718.515,991.988
DLTM_twitter845_79_18.cnf,9.100303951,0.111262257,7.0,12.0,1.327412643,0.184929759,0.549559575,27146.0,163580.0,23371.0,155211.0,0.161524967,0.053920147,0.150575668,0.232375004,0.693885579,0.0,1.0,0.684471975,0.000116311,0.205491399,8.5576e-05,0.000770185,0.701627545,0.0,0.305416498,0.983055325,0.000116311,0.719939012,5.1543e-05,0.001108169,2.946990258,0.086029429,0.062173323,0.0,0.837209302,2.489632201,6.9663e-05,0.684330104,3.2214e-05,0.000528313,2.691284777,0.640772883,0.000103117,0.768437331,3.2214e-05,0.001095283,0.00021968,0.756330778,3.8657e-05,0.003041022,4.149975068,0.094577884,0.603445947,0.00433583,0.454545455,2.966781767,0.0,0.0,0.001283642,0.001283642,0.001283642,0.340905001,0.60266954,2e-09,0.991646971,0.624418827,0.057636394,0.464109875,0.173492328,0.348316073,0.010725302,1.324041142,0.0,0.12570783,0.024411504,5.6793e-05,0.018584289,0.000781154,0.004399941,1049.6,1.615764982,5955.6,0.55903643,7450.0,0.0,7460.0,1.363129919,0.753888834,0.950077241,0.14489423,862.444444444,1.954900372,6637.88888889,0.375036961,7453.0,0.0,7508.0,0.735175362,1.379696583,0.933758155,0.134585059,NaN,NaN,NaN,NaN,NaN,NaN,3151.1,3150.26,595.888,334.1,467.93,495.415,1174.52,1626.6,821.066,809.546,684.596,918.763,3930.35,4742.01,3295.06,509.342,1836.91,1699.87,NaN,4801.72,984.077,2435.05,217.81,2682.46,4572.1,3409.17,4574.21,316.427,501.768,3649.38,NaN,473.135,NaN,NaN,NaN,NaN,800.183,378.864,776.463,110.327,72.9702,104.465,597.716,1961.18,NaN,NaN,NaN,151.733,508.527,1051.58,1043.85,512.476,1281.9,2041.23,1102.83,301.842,1423.82,2357.53,2798.88,3559.27,3814.31,2536.51,828.121,279.631,1105.03,3019.93,1123.0
DLTM_twitter845_79_19.cnf,9.382069543,0.110715991,7.0,12.0,1.38984467,0.185305702,0.519466897,27146.0,163580.0,23371.0,155225.0,0.161524967,0.053825093,0.150562087,0.232323982,0.693321451,0.0,1.0,0.683936226,0.000116316,0.205462778,8.5576e-05,0.000770185,0.701527451,0.0,0.30529876,0.983056853,0.000116316,0.720376609,5.1538e-05,0.001108069,2.9473394,0.086033269,0.062172896,0.0,0.837209302,2.490125237,6.9661e-05,0.684435299,3.2211e-05,0.000528265,2.691416709,0.640715091,0.000103123,0.768964425,3.2211e-05,0.001095184,0.000219802,0.757321912,3.8654e-05,0.003040747,4.150480008,0.094567706,0.603575374,0.00433583,0.454545455,2.966858122,0.0,0.0,0.001283642,0.001283642,0.001283642,0.340913338,0.602646867,2e-09,0.991646971,0.624418793,0.057614098,0.464109875,0.173492097,0.348316073,0.010725217,1.324054342,0.0,0.125707831,0.024411504,5.6793e-05,0.018584289,0.000777444,0.004399941,3612.0,2.064529335,5981.8,0.559083036,7438.0,0.0,7505.0,1.794056691,1.164856463,1.330796189,0.744591099,612.875,1.485472958,7454.375,0.012389966,7466.0,7336.0,7525.0,0.668599388,1.302543441,0.901425454,0.040510686,-512.0,0.0,0.0,0.0,0.0,0.0,2523.94,2564.32,144.999,1651.3,80.696,71.9903,260.399,326.866,45.6565,29.0265,703.924,294.138,1078.24,2615.83,2770.11,451.772,107.42,2869.3,1816.9,297.508,196.916,555.35,282.121,2591.44,2580.82,2594.62,2528.97,424.536,225.247,633.25,NaN,390.396,NaN,NaN,NaN,NaN,719.975,121.289,118.979,20.1876,46.8052,20.2347,56.3627,556.407,137.575,137.955,140.695,77.8487,209.27,83.2145,83.1219,71.6468,93.4632,176.94,241.366,203.044,195.759,211.825,2654.84,2539.93,2579.18,2609.22,56.292,313.479,409.877,399.094,39.8631
GreenTao_2-5-5_34308.cnf,4.669291339,0.15760445,4.0,6.0,1.009998716,0.304718319,0.345316127,34306.0,708168.0,34306.0,708168.0,0.0,0.0,0.048443307,1.0,0.0,1.0,1.0,0.0,0.000145747,0.0,0.000145747,0.000145747,0.0,0.0,0.0,0.0,0.000145747,0.300365364,1.6945e-05,0.000367145,4.117895277,0.0,0.0,0.0,0.0,0.0,7.2874e-05,0.300365364,8.473e-06,0.000183572,4.117895277,0.5,0.000255281,0.279543048,3.389e-05,0.000706047,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000408092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053632565,1.377184892,0.000221058,0.392316082,0.173209408,0.003056464,0.070934594,0.006242348,0.017247798,12035.0,1.221147265,3211.0,1.414213562,3211.0,0.0,0.0,0.287421207,1.414213562,0.425264389,1.414213562,1542.33333333,0.082417614,6506.66666667,0.013833959,6480.0,6433.0,6480.0,0.256203439,0.32913941,0.854967407,0.010772379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k90.debugged.cnf,66.56206089,0.184753155,46.0,88.0,3.754260236,0.0703064,0.196568973,120644.0,502392.0,42220.0,271505.0,1.85750829,0.850396862,0.155503582,0.324747014,1.11601706,0.0,1.0,1.820849704,7.8993e-05,0.59078738,4.7371e-05,0.000284225,1.518981729,0.0,0.548682345,0.696926392,7.8993e-05,0.964050884,2.5782e-05,0.00084713,3.457454354,0.179382779,0.138209823,0.0,0.739130435,3.328606203,3.8977e-05,0.884373323,3.683e-06,0.000419882,2.891872304,0.643074713,8.887e-05,0.775413116,1.4733e-05,0.000791882,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,0.0,9.4742e-05,0.000663193,0.002936997,0.009663667,0.562661174,0.499553664,9.854e-06,0.983212233,0.882345023,0.112580863,0.815295597,0.305507234,0.62460127,0.032727779,1.15552305,0.0,0.246461806,0.079288463,0.000888552,0.046869135,0.005855007,0.018055218,1031.0,0.0,13648.0,0.0,13648.0,13648.0,13648.0,0.832201802,0.0,0.91975181,0.0,4430.16666667,1.156093641,11373.8333333,0.489934651,13609.0,0.0,13680.0,1.23303667,1.519807102,1.043063233,0.218745065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
