Instances,feature_ EXIST_VARS,feature_ FORALL_VARS,feature_ TOTAL_VARS,feature_ CLAUSES,feature_ LITERALS,feature_ EXIST_SET,feature_ FORALL_SET,feature_ TOTAL_SET,feature_ UNARY_CLAUSES,feature_ BINARY_CLAUSES,feature_ TERNARY_MORE_CLAUSES,feature_ POS_HORN,feature_ NEG_HORN,feature_ EXIST_LIT_PER_CLAUSE,feature_ FORALL_LIT_PER_CLAUSE,feature_ EXIST_VARS_PER_SET,feature_ FORALL_POS_LITS_PER_CLAUSE,feature_ FORALL_NEG_LITS_PER_CLAUSE,feature_ OCCS_POS_NO_PER_VAR,feature_ OCCS_FORALL_NO_PER_VAR,feature_ OCCS_FORALL_POS_NO_PER_VAR,feature_ W_OCCS_POS_NO_PER_VAR,feature_ W_OCCS_FORALL_NO_PER_VAR,feature_ W_OCCS_FORALL_POS_NO_PER_VAR,feature_ W_PRODUCTS,feature_ LITN_LIT,feature_ LITEP_LIT,feature_ LITEN_LITE,feature_ LITEN_LITN,feature_ LITFN_LIT,feature_ LITFP_LITFN,feature_ OCCP_OCCN,feature_ OCCE_OCC,feature_ OCCEN_OCC,feature_ OCCFP_OCCF,feature_ OCCEN_OCCE,feature_ OCCEN_OCCN,feature_ OCCFP_OCCFN,feature_ TERMORE_CLAUSE,feature_ NEG_HORN_CLAUSE,feature_ WOCCN_WOCC,feature_ WOCCEP_WOCC,feature_ WOCCFN_WOCC,feature_ WOCCEP_WOCCE,feature_ WOCCEP_WOCCP,feature_ WOCCFN_WOCCN,algo_bcghostq,algo_brareqs,algo_cbdepqbf,algo_cghostq,algo_depqbf,algo_dual_ooq13,algo_ghostq,algo_hiqqer1,algo_hiqqer3,algo_ooq13,algo_pre_dual_ooq13,algo_rareqs,algo_sqube,algo_xbdepqbf
applications/bomb/p10-1.pddl_planlen=4,254.0,10.0,264.0,658.0,1424.0,2.0,1.0,3.0,176.0,331.0,151.0,551.0,297.0,2.057751,0.106383,127.0,0.06079,0.045593,1.632576,7.0,4.0,3.784091,14.0,8.0,26.492126,0.697331,0.274579,0.711226,0.969789,0.021067,1.333333,0.434038,0.988277,0.702889,0.571429,0.711226,1.007969,1.333333,0.229483,0.451368,0.63082,0.352986,0.585366,0.358145,0.956137,0.927944,0.161034,0.013544,0.025885,0.153419,0.010764,0.007583,0.160517,0.036931,0.030133,0.007596,0.035012,0.013435,0.034295,0.016838
applications/bomb/p10-1.pddl_planlen=5,309.0,10.0,319.0,822.0,1804.0,2.0,1.0,3.0,209.0,416.0,197.0,680.0,363.0,2.109489,0.085158,154.5,0.048662,0.036496,1.724138,7.0,4.0,4.050157,14.0,8.0,29.297735,0.695122,0.282705,0.705882,0.976077,0.01663,1.333333,0.438596,0.992304,0.70045,0.571429,0.705882,1.007665,1.333333,0.239659,0.441606,0.626157,0.362044,0.553819,0.365501,0.968439,0.884473,0.195139,0.014178,0.018829,0.177682,0.015765,0.012048,0.17902,0.03147,0.036823,0.010512,0.033737,0.011796,0.035622,0.018148
applications/bomb/p10-1.pddl_planlen=6,364.0,10.0,374.0,986.0,2184.0,2.0,1.0,3.0,242.0,501.0,243.0,809.0,429.0,2.144016,0.070994,182.0,0.040568,0.030426,1.78877,7.0,4.0,4.237968,14.0,8.0,31.255495,0.693681,0.288004,0.70246,0.980198,0.013736,1.333333,0.441584,0.994541,0.698625,0.571429,0.70246,1.007127,1.333333,0.24645,0.435091,0.623157,0.367652,0.533524,0.370143,0.975613,0.856162,0.224946,0.015133,0.02798,0.213826,0.012126,0.011369,0.206304,0.035904,0.035872,0.00762,0.034937,0.015613,0.037104,0.02013
applications/bomb/p10-1.pddl_planlen=7,419.0,10.0,429.0,1150.0,2564.0,2.0,1.0,3.0,275.0,586.0,289.0,938.0,495.0,2.168696,0.06087,209.5,0.034783,0.026087,1.83683,7.0,4.0,4.377622,14.0,8.0,32.699284,0.692668,0.291732,0.70008,0.983108,0.0117,1.333333,0.443694,0.995914,0.697219,0.571429,0.70008,1.006571,1.333333,0.251304,0.430435,0.621065,0.371451,0.51937,0.373339,0.980251,0.836257,0.261941,0.008141,0.02135,0.251153,0.01308,0.007598,0.239,0.040861,0.043484,0.007711,0.038041,0.018306,0.038857,0.014786
applications/bomb/p10-1.pddl_planlen=9,529.0,10.0,539.0,1478.0,3324.0,2.0,1.0,3.0,341.0,756.0,381.0,1196.0,627.0,2.201624,0.047361,264.5,0.027064,0.020298,1.903525,7.0,4.0,4.571429,14.0,8.0,34.6862,0.691336,0.296631,0.696988,0.986945,0.009025,1.333333,0.446475,0.997447,0.695209,0.571429,0.696988,1.005602,1.333333,0.257781,0.424222,0.61834,0.376249,0.500929,0.377454,0.985822,0.81012,0.396716,0.018814,0.031572,0.383141,0.028579,0.011587,0.342776,0.044997,0.049456,0.017455,0.045447,0.024537,0.064445,0.03017
applications/bomb/p10-10.pddl_planlen=10,1970.0,10.0,1980.0,66010.0,139550.0,2.0,1.0,3.0,680.0,61950.0,3380.0,63730.0,2070.0,2.106196,0.007878,985.0,0.004696,0.003181,4.464646,52.0,31.0,10.015152,104.0,62.0,444.243655,0.936654,0.061125,0.938646,0.998393,0.001505,1.47619,0.067631,1.001331,0.939896,0.596154,0.938646,1.003461,1.47619,0.051204,0.031359,0.87757,0.119204,0.513428,0.119369,0.973652,0.585057,14.6601,0.751346,0.943168,14.2229,0.269748,1.53911,22.3299,2.7861,5.27918,0.488666,0.48664,15.242,NaN,1.29523
applications/bomb/p10-10.pddl_planlen=11,2160.0,10.0,2170.0,72636.0,153610.0,2.0,1.0,3.0,740.0,68155.0,3741.0,70105.0,2271.0,2.107633,0.007159,1080.0,0.004268,0.002891,4.497696,52.0,31.0,10.115207,104.0,62.0,450.092593,0.936462,0.061519,0.938272,0.99854,0.001367,1.47619,0.067848,1.001229,0.939425,0.596154,0.938272,1.003163,1.47619,0.051503,0.031265,0.87701,0.120069,0.510674,0.120216,0.976253,0.58229,17.2832,0.592936,0.834571,16.9377,0.416662,1.81318,14.659,0.970977,4.1024,0.590721,0.649904,16.0334,NaN,1.30958
applications/bomb/p10-10.pddl_planlen=13,2540.0,10.0,2550.0,85888.0,181730.0,2.0,1.0,3.0,860.0,80565.0,4463.0,82855.0,2673.0,2.109841,0.006054,1270.0,0.003609,0.002445,4.54902,52.0,31.0,10.270588,104.0,62.0,459.165354,0.936169,0.062125,0.937697,0.998766,0.001156,1.47619,0.068183,1.001064,0.938695,0.596154,0.937697,1.002698,1.47619,0.051963,0.031122,0.876153,0.121392,0.506455,0.121513,0.980171,0.578044,17.6485,0.657823,1.00831,17.1033,0.364615,2.57704,16.4482,0.800449,2.32025,0.903383,0.609753,15.8185,NaN,1.65338
applications/bomb/p10-10.pddl_planlen=14,2730.0,10.0,2740.0,92514.0,195790.0,2.0,1.0,3.0,920.0,86770.0,4824.0,89230.0,2874.0,2.110708,0.005621,1365.0,0.003351,0.00227,4.569343,52.0,31.0,10.332117,104.0,62.0,462.754579,0.936054,0.062363,0.937471,0.998854,0.001073,1.47619,0.068315,1.000997,0.938406,0.596154,0.937471,1.002513,1.47619,0.052143,0.031066,0.875817,0.121908,0.504803,0.12202,0.981682,0.57638,19.0017,0.758348,1.10977,18.3353,0.400953,3.08066,17.4953,0.85934,2.51951,0.666443,0.653802,20.705,NaN,1.86115
applications/bomb/p10-10.pddl_planlen=15,2920.0,10.0,2930.0,99140.0,209850.0,2.0,1.0,3.0,980.0,92975.0,5185.0,95605.0,3075.0,2.111459,0.005245,1460.0,0.003127,0.002118,4.587031,52.0,31.0,10.385666,104.0,62.0,465.876712,0.935954,0.062569,0.937276,0.998931,0.001001,1.47619,0.068428,1.000938,0.938155,0.596154,0.937276,1.002352,1.47619,0.0523,0.031017,0.875527,0.122355,0.503375,0.122458,0.98298,0.574939,20.4932,0.7964,1.17419,19.774,0.440463,3.26356,18.321,0.862403,2.626,0.726859,0.714695,23.2052,NaN,2.04051
applications/bomb/p10-10.pddl_planlen=16,3110.0,10.0,3120.0,105766.0,223910.0,2.0,1.0,3.0,1040.0,99180.0,5546.0,101980.0,3276.0,2.112115,0.004917,1555.0,0.002931,0.001986,4.602564,52.0,31.0,10.432692,104.0,62.0,468.617363,0.935867,0.062748,0.937106,0.998998,0.000938,1.47619,0.068528,1.000886,0.937935,0.596154,0.937106,1.00221,1.47619,0.052437,0.030974,0.875273,0.122745,0.502127,0.122841,0.984107,0.57368,22.2449,0.894272,1.30259,21.3748,0.477818,3.66746,19.9057,0.946909,2.95847,0.777335,0.760799,23.8249,NaN,2.24991
applications/bomb/p10-10.pddl_planlen=17,3300.0,10.0,3310.0,112392.0,237970.0,2.0,1.0,3.0,1100.0,105385.0,5907.0,108355.0,3477.0,2.112695,0.004627,1650.0,0.002758,0.001868,4.616314,52.0,31.0,10.47432,104.0,62.0,471.042424,0.93579,0.062907,0.936955,0.999057,0.000882,1.47619,0.068616,1.000839,0.937741,0.596154,0.936955,1.002084,1.47619,0.052557,0.030936,0.87505,0.123088,0.501027,0.123178,0.985093,0.57257,23.7846,0.929666,1.38357,23.1614,0.517129,4.1689,20.5629,0.996247,3.11952,0.824077,0.79942,18.4614,NaN,2.49463
applications/bomb/p10-10.pddl_planlen=18,3490.0,10.0,3500.0,119018.0,252030.0,2.0,1.0,3.0,1160.0,111590.0,6268.0,114730.0,3678.0,2.11321,0.004369,1745.0,0.002605,0.001764,4.628571,52.0,31.0,10.511429,104.0,62.0,473.203438,0.935722,0.063048,0.936822,0.99911,0.000833,1.47619,0.068694,1.000796,0.937567,0.596154,0.936822,1.001972,1.47619,0.052664,0.030903,0.874851,0.123392,0.500051,0.123477,0.985965,0.571584,25.6726,1.00917,1.47381,24.6816,0.547861,4.63443,22.8732,1.08188,3.40728,0.858536,0.857085,28.9502,577.509,2.73402
applications/bomb/p10-10.pddl_planlen=20,3870.0,10.0,3880.0,132270.0,280150.0,2.0,1.0,3.0,1280.0,124000.0,6990.0,127480.0,4080.0,2.114085,0.003931,1935.0,0.002344,0.001588,4.649485,52.0,31.0,10.574742,104.0,62.0,476.888889,0.935606,0.063288,0.936595,0.999199,0.00075,1.47619,0.068826,1.000723,0.937272,0.596154,0.936595,1.001781,1.47619,0.052846,0.030846,0.874514,0.123909,0.498394,0.123984,0.987434,0.56991,26.6536,1.15742,1.68096,25.6829,0.650493,5.91579,25.2498,1.2561,3.92137,0.963149,0.95783,30.1284,743.564,3.25071
applications/bomb/p10-10.pddl_planlen=4,830.0,10.0,840.0,26254.0,55190.0,2.0,1.0,3.0,320.0,24720.0,1214.0,25480.0,864.0,2.082349,0.019807,415.0,0.011808,0.007999,3.952381,52.0,31.0,8.464286,104.0,62.0,352.915663,0.939844,0.054539,0.944942,0.995951,0.003805,1.47619,0.064006,1.002513,0.947317,0.596154,0.944942,1.007951,1.47619,0.046241,0.032909,0.887089,0.104307,0.560267,0.104796,0.923796,0.631579,7.72148,1.68804,0.264444,7.5643,5.78509,5.49143,30.9911,2.53798,2.54516,5.92988,4.59275,0.134078,12.8918,9.07129
applications/bomb/p10-10.pddl_planlen=5,1020.0,10.0,1030.0,32880.0,69250.0,2.0,1.0,3.0,380.0,30925.0,1575.0,31855.0,1065.0,2.090328,0.015815,510.0,0.009428,0.006387,4.116505,52.0,31.0,8.961165,104.0,62.0,382.313725,0.938773,0.056751,0.94282,0.99677,0.003032,1.47619,0.065221,1.002221,0.944914,0.596154,0.94282,1.006542,1.47619,0.047901,0.032391,0.883856,0.109405,0.544356,0.109779,0.941973,0.615888,13.1485,38.4599,0.455583,12.9343,113.134,65.851,837.285,156.713,201.555,90.7091,105.023,0.350258,NaN,151.848
applications/bomb/p10-10.pddl_planlen=6,1210.0,10.0,1220.0,39506.0,83310.0,2.0,1.0,3.0,440.0,37130.0,1936.0,38230.0,1266.0,2.095631,0.013163,605.0,0.007847,0.005316,4.229508,52.0,31.0,9.303279,104.0,62.0,402.479339,0.938063,0.058216,0.941418,0.997313,0.002521,1.47619,0.066027,1.001971,0.943274,0.596154,0.941418,1.005555,1.47619,0.049005,0.032046,0.881734,0.11273,0.533917,0.113031,0.953187,0.605531,42.736,NaN,7.56551,42.1596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.766834,NaN,NaN
applications/bomb/p10-10.pddl_planlen=7,1400.0,10.0,1410.0,46132.0,97370.0,2.0,1.0,3.0,500.0,43335.0,2297.0,44605.0,1467.0,2.09941,0.011272,700.0,0.00672,0.004552,4.312057,52.0,31.0,9.553191,104.0,62.0,417.171429,0.937558,0.059258,0.940423,0.9977,0.002157,1.47619,0.066601,1.001764,0.942082,0.596154,0.940423,1.004826,1.47619,0.049792,0.0318,0.880235,0.115069,0.52654,0.115319,0.960786,0.598182,39.9148,NaN,NaN,39.7309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.50411,NaN,NaN
applications/bomb/p10-10.pddl_planlen=8,1590.0,10.0,1600.0,52758.0,111430.0,2.0,1.0,3.0,560.0,49540.0,2658.0,50980.0,1668.0,2.10224,0.009856,795.0,0.005876,0.00398,4.375,52.0,31.0,9.74375,104.0,62.0,428.352201,0.93718,0.060038,0.939681,0.997989,0.001885,1.47619,0.067031,1.001593,0.941178,0.596154,0.939681,1.004266,1.47619,0.050381,0.031616,0.879119,0.116804,0.521051,0.117017,0.96627,0.592697,62.6786,NaN,NaN,62.382,NaN,74.8492,NaN,NaN,NaN,NaN,NaN,5.46244,NaN,NaN
applications/bomb/p10-10.pddl_planlen=9,1780.0,10.0,1790.0,59384.0,125490.0,2.0,1.0,3.0,620.0,55745.0,3019.0,57355.0,1869.0,2.104439,0.008757,890.0,0.00522,0.003536,4.424581,52.0,31.0,9.893855,104.0,62.0,437.146067,0.936887,0.060642,0.939105,0.998214,0.001673,1.47619,0.067364,1.001451,0.940468,0.596154,0.939105,1.003822,1.47619,0.050839,0.031473,0.878257,0.118141,0.516808,0.118327,0.970413,0.588447,815.492,NaN,NaN,816.26,NaN,273.624,NaN,NaN,NaN,NaN,NaN,11.7055,NaN,NaN
applications/bomb/p10-5.pddl_planlen=11,1315.0,10.0,1325.0,19976.0,43920.0,2.0,1.0,3.0,555.0,17490.0,1931.0,18650.0,1431.0,2.185122,0.013516,657.5,0.00801,0.005507,3.803774,27.0,16.0,8.641509,54.0,32.0,211.136882,0.885246,0.111111,0.888202,0.997171,0.002505,1.454545,0.12963,1.00141,0.889454,0.592593,0.888202,1.004754,1.454545,0.096666,0.071636,0.799545,0.196335,0.510329,0.196713,0.979444,0.638275,NaN,NaN,NaN,NaN,NaN,8.48564,NaN,NaN,NaN,NaN,NaN,476.179,NaN,NaN
applications/bomb/p10-5.pddl_planlen=12,1430.0,10.0,1440.0,21802.0,47960.0,2.0,1.0,3.0,600.0,19085.0,2117.0,20345.0,1557.0,2.187414,0.012384,715.0,0.007339,0.005045,3.829861,27.0,16.0,8.71875,54.0,32.0,213.583916,0.885008,0.111656,0.887712,0.997408,0.002294,1.454545,0.129933,1.001324,0.888888,0.592593,0.887712,1.004383,1.454545,0.097101,0.071415,0.798959,0.197287,0.507286,0.197626,0.981327,0.634933,NaN,NaN,NaN,NaN,NaN,3.22806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/bomb/p10-5.pddl_planlen=13,1545.0,10.0,1555.0,23628.0,52000.0,2.0,1.0,3.0,645.0,20680.0,2303.0,22040.0,1683.0,2.189352,0.011427,772.5,0.006772,0.004655,3.85209,27.0,16.0,8.784566,54.0,32.0,215.666667,0.884808,0.112115,0.887299,0.997609,0.002115,1.454545,0.130189,1.001247,0.888406,0.592593,0.887299,1.004066,1.454545,0.097469,0.071229,0.798466,0.198087,0.504721,0.198394,0.982895,0.632114,NaN,NaN,NaN,NaN,NaN,1.04331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/bomb/p10-5.pddl_planlen=16,1890.0,10.0,1900.0,29106.0,64120.0,2.0,1.0,3.0,780.0,25465.0,2861.0,27125.0,2061.0,2.193706,0.009276,945.0,0.005497,0.003779,3.902632,27.0,16.0,8.934211,54.0,32.0,220.39418,0.884357,0.113147,0.886374,0.99806,0.001716,1.454545,0.130764,1.001058,0.887312,0.592593,0.886374,1.003341,1.454545,0.098296,0.07081,0.797362,0.19987,0.498985,0.200108,0.98634,0.625795,6.36951,0.143011,0.229161,6.22143,0.223513,1.07278,5.85918,0.241875,0.977714,0.442653,0.203695,9.14976,NaN,0.466301
applications/bomb/p10-5.pddl_planlen=17,2005.0,10.0,2015.0,30932.0,68160.0,2.0,1.0,3.0,825.0,27060.0,3047.0,28820.0,2187.0,2.194814,0.008729,1002.5,0.005173,0.003556,3.915633,27.0,16.0,8.972705,54.0,32.0,221.608479,0.884243,0.11341,0.886139,0.998175,0.001614,1.454545,0.130911,1.001007,0.887031,0.592593,0.886139,1.003153,1.454545,0.098506,0.070703,0.797082,0.200321,0.497531,0.200542,0.9872,0.62419,6.56477,0.143824,0.225719,6.41501,0.241228,2.48008,6.08541,0.251697,1.01043,0.251879,0.234224,6.49797,NaN,0.523496
applications/bomb/p10-5.pddl_planlen=18,2120.0,10.0,2130.0,32758.0,72200.0,2.0,1.0,3.0,870.0,28655.0,3233.0,30515.0,2313.0,2.195799,0.008242,1060.0,0.004884,0.003358,3.92723,27.0,16.0,9.007042,54.0,32.0,222.691038,0.884141,0.113643,0.885931,0.998277,0.001524,1.454545,0.131041,1.00096,0.886781,0.592593,0.885931,1.002986,1.454545,0.098693,0.070609,0.796834,0.20072,0.496241,0.200927,0.987959,0.622766,6.87509,0.154554,0.244778,6.74697,0.273781,1.4534,6.17004,0.279285,1.12794,0.571072,0.215482,6.68034,32.4185,0.566825
applications/bomb/p10-5.pddl_planlen=19,2235.0,10.0,2245.0,34584.0,76240.0,2.0,1.0,3.0,915.0,30250.0,3419.0,32210.0,2439.0,2.196681,0.007807,1117.5,0.004626,0.003181,3.937639,27.0,16.0,9.037862,54.0,32.0,223.662192,0.88405,0.113851,0.885744,0.998368,0.001443,1.454545,0.131157,1.000917,0.886557,0.592593,0.885744,1.002835,1.454545,0.098861,0.070524,0.796612,0.201076,0.495088,0.20127,0.988632,0.621492,7.33979,0.16424,0.262185,7.21977,0.292453,1.54864,6.3199,0.295455,1.19897,0.36443,0.232667,7.22673,NaN,0.643669
applications/bomb/p10-5.pddl_planlen=2,280.0,10.0,290.0,3542.0,7560.0,2.0,1.0,3.0,150.0,3135.0,257.0,3395.0,297.0,2.058159,0.076228,140.0,0.045172,0.031056,2.637931,27.0,16.0,5.189655,54.0,32.0,98.660714,0.89881,0.080026,0.91701,0.983812,0.01455,1.454545,0.112583,0.998724,0.91584,0.592593,0.91701,1.018948,1.454545,0.072558,0.083851,0.835519,0.134133,0.697268,0.137631,0.815496,0.834532,0.679787,0.013657,0.03726,0.662921,0.013555,0.012595,0.632018,0.035303,0.043508,0.01187,0.053838,0.021783,0.049214,0.035614
applications/bomb/p10-5.pddl_planlen=24,2810.0,10.0,2820.0,43714.0,96440.0,2.0,1.0,3.0,1140.0,38225.0,4349.0,40685.0,3069.0,2.199982,0.006177,1405.0,0.00366,0.002516,3.97695,27.0,16.0,9.154255,54.0,32.0,227.325623,0.88371,0.114631,0.885047,0.998709,0.001141,1.454545,0.131593,1.000749,0.88571,0.592593,0.885047,1.002263,1.454545,0.099488,0.070206,0.795784,0.202403,0.490784,0.20255,0.991119,0.61673,8.97765,0.222307,0.346531,8.79597,0.378024,2.87429,8.28589,0.392947,1.64597,0.634775,0.283362,10.0777,NaN,0.905222
