Instances,feature_ nvarsOrig,feature_ nclausesOrig,feature_ nvars,feature_ nclauses,feature_ reducedVars,feature_ reducedClauses,feature_ Prefeaturetime,feature_ varsclausesratio,feature_ POSNEGRATIOCLAUSEmean,feature_ POSNEGRATIOCLAUSEcoeffvariation,feature_ POSNEGRATIOCLAUSEmin,feature_ POSNEGRATIOCLAUSEmax,feature_ POSNEGRATIOCLAUSEentropy,feature_ VCGCLAUSEmean,feature_ VCGCLAUSEcoeffvariation,feature_ VCGCLAUSEmin,feature_ VCGCLAUSEmax,feature_ VCGCLAUSEentropy,feature_ UNARY,feature_ BINARY+,feature_ TRINARY+,feature_ Basicfeaturetime,feature_ VCGVARmean,feature_ VCGVARcoeffvariation,feature_ VCGVARmin,feature_ VCGVARmax,feature_ VCGVARentropy,feature_ POSNEGRATIOVARmean,feature_ POSNEGRATIOVARstdev,feature_ POSNEGRATIOVARmin,feature_ POSNEGRATIOVARmax,feature_ POSNEGRATIOVARentropy,feature_ HORNYVARmean,feature_ HORNYVARcoeffvariation,feature_ HORNYVARmin,feature_ HORNYVARmax,feature_ HORNYVARentropy,feature_ hornclausesfraction,feature_ VGmean,feature_ VGcoeffvariation,feature_ VGmin,feature_ VGmax,feature_ KLBfeaturetime,feature_ CGmean,feature_ CGcoeffvariation,feature_ CGmin,feature_ CGmax,feature_ CGentropy,feature_ clustercoeffmean,feature_ clustercoeffcoeffvariation,feature_ clustercoeffmin,feature_ clustercoeffmax,feature_ clustercoeffentropy,feature_ CGfeaturetime,algo_abcdSAT,algo_minisat_BCD,algo_or-tools,algo_GlueMiniSat_2.2.10,algo_CCAglucose2015,algo_multi-sat-g2_0,algo_multi-sat-g2_2,algo_ratselfax_cnf_215_final,algo_BreakIDGlucose2,algo_Lingeling_sr15bal,algo_Lingeling_sr15baq,algo_GlueMiniSat_2.2.10-5,algo_glucose-default,algo_glueminisat-Actmini,algo_riss_505_2,algo_riss_505_1,algo_Glucose_nbSatRsltn,algo_Nigma-1.2.86,algo_Nigma-1.2.87,algo_Glucose_nbSat,algo_COMiniSatPS_Main_Sequence,algo_COMiniSatPS_Subdwarf,algo_satUZK-seq,algo_ADS-cryptominisat,algo_ADS-cryptominisat-autotune,algo_ADS-dccaSatToRiss,algo_ADS-glucose-adapt,algo_ADS-glucose-community-switching
008-80-8.cnf,13408.0,478484.0,12698.0,306923.0,0.055914317,0.558970817,0.6,0.04137194,0.375423126,0.589520554,0.0,1.0,2.190098171,0.000453186,0.201316525,0.000157505,0.001575051,1.444261219,0.0,0.001111028,0.038139859,0.02,0.000453186,0.440466106,5.213e-05,0.000882958,3.72641525,0.11743364,0.068549042,0.0,0.672727273,2.815587539,7.3741e-05,0.497857267,3.258e-06,0.000188972,3.28686326,0.193572981,6.3581e-05,0.418564736,1.6291e-05,0.000136842,0.24,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,746.31,363.915,3394.66,1122.1,1275.24,1084.22,581.337,NaN,648.941,100.614,767.621,1124.14,667.466,475.988,768.257,1342.6,690.338,755.47,737.148,332.406,834.54,273.614,NaN,307.748,386.32,3541.28,995.87,1605.01
009-23-64.cnf,4288.0,132576.0,3571.0,73596.0,0.200784094,0.80140225,0.14,0.048521659,0.370492509,0.607362459,0.0,1.0,2.176451839,0.001590791,0.218627593,0.000560067,0.001960235,1.497840491,0.0,0.004877982,0.070601663,0.02,0.001590791,0.499179561,8.1526e-05,0.003627915,4.171618882,0.131231479,0.083645353,0.0,0.672727273,3.102403407,0.000266648,0.507217691,2.7175e-05,0.000760911,3.266572112,0.204223056,0.000226878,0.434511161,6.7938e-05,0.000475569,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,NaN,NaN,2254.01,NaN,NaN,NaN,NaN,2874.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
009-80-4.cnf,13408.0,478480.0,12702.0,307263.0,0.055581798,0.557232729,0.66,0.041339178,0.375428943,0.589395352,0.0,1.0,2.190146896,0.000453147,0.201278836,0.000157456,0.001574555,1.443910252,0.0,0.001093526,0.037947947,0.02,0.000453147,0.439966718,5.2073e-05,0.000881981,3.718190831,0.117463541,0.06856873,0.0,0.672727273,2.81475274,7.3731e-05,0.497491589,3.255e-06,0.000188763,3.28021627,0.193550802,6.3592e-05,0.419412155,1.6273e-05,0.000139945,0.3,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,166.899,179.076,568.593,471.173,907.172,173.544,172.177,NaN,316.697,157.784,121.565,442.815,317.813,125.222,643.114,514.582,177.182,132.443,138.24,212.534,459.222,161.497,503.426,157.636,260.051,2935.61,278.009,1505.75
009-80-8.cnf,13408.0,478484.0,12701.0,307256.0,0.055664908,0.557281225,0.64,0.041336866,0.375397478,0.589363625,0.0,1.0,2.189575783,0.000453159,0.201165995,0.000157468,0.001338477,1.443282025,0.0,0.001106569,0.038010649,0.04,0.000453159,0.439840424,5.2074e-05,0.000882001,3.714764592,0.117447919,0.0685981,0.0,0.672727273,2.814633412,7.3736e-05,0.497023385,6.509e-06,0.000188768,3.279493095,0.193571484,6.3461e-05,0.416978102,1.6273e-05,0.000107402,0.28,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,604.259,403.382,309.167,1087.84,1083.34,576.521,251.455,NaN,1001.94,139.619,908.852,1114.37,1000.01,742.766,1220.68,930.923,852.839,783.997,752.687,667.134,567.993,371.393,NaN,242.155,421.74,3169.93,909.785,2140.83
010-22-144.cnf,4128.0,126564.0,3267.0,60949.0,0.263544536,1.076555809,0.14,0.053602192,0.373284143,0.613987429,0.0,1.0,2.184193207,0.001697651,0.229889237,0.000612182,0.002142639,1.543788626,0.0,0.007022265,0.087368127,0.0,0.001697651,0.573079364,0.00011485,0.004249454,4.41016395,0.129488392,0.087503557,0.0,0.672727273,3.219694333,0.000305001,0.522844119,1.6407e-05,0.000885987,3.308465491,0.218937144,0.000259501,0.452984131,8.2036e-05,0.000541436,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,NaN,NaN,100.79,2878.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2693.37,NaN,888.431,NaN
010-23-80.cnf,4288.0,132592.0,3532.0,70830.0,0.214043035,0.871975152,0.14,0.049865876,0.372050718,0.609492851,0.0,1.0,2.179991089,0.00159638,0.220658019,0.000566251,0.00198188,1.509648519,0.0,0.004800226,0.074827051,0.0,0.00159638,0.512823638,8.471e-05,0.003769589,4.317149306,0.130017062,0.084543055,0.0,0.672727273,3.148630978,0.000275755,0.510023955,2.8237e-05,0.000734152,3.301809337,0.209402795,0.000232345,0.436147307,7.0592e-05,0.000465904,0.04,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,NaN,NaN,NaN,2166.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3357.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
010-80-12.cnf,13408.0,478488.0,12706.0,307415.0,0.055249488,0.556488786,0.64,0.04133175,0.375394981,0.589479292,0.0,1.0,2.190128036,0.000453001,0.201261441,0.000157406,0.001337951,1.444064132,0.0,0.001177561,0.038046289,0.04,0.000453001,0.440025676,3.9035e-05,0.000881544,3.718379691,0.117457808,0.068512707,0.0,0.672727273,2.81485453,7.3707e-05,0.497367558,3.253e-06,0.00018867,3.279882423,0.19357546,6.3608e-05,0.419148256,1.6265e-05,0.000123611,0.28,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,927.6,586.116,3522.08,1655.5,1658.63,1260.36,2256.05,NaN,1142.74,981.413,715.553,1662.4,1183.14,1788.53,2039.03,1103.08,957.881,894.172,897.154,954.727,1412.95,375.01,2848.3,941.822,887.317,NaN,1066.18,2684.41
10pipe_q0_k.cnf,77639.0,2082017.0,46760.0,2015434.0,0.660372113,0.033036557,4.36,0.023200958,0.874155766,0.353556977,0.0,1.0,0.755775538,6.9448e-05,2.629748259,4.2772e-05,0.005624465,0.542011587,0.0,0.915093722,0.928225385,0.14,6.9448e-05,3.273242936,3.473e-06,0.006132178,4.98020501,0.485140607,0.332452678,0.0,0.97833935,3.94491329,3.9972e-05,2.526249251,0.0,0.00163538,4.814041187,0.927887492,0.000114562,2.166107028,3.473e-06,0.004702213,3.4,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,21.78,344.441,191.755,1292.68,188.497,724.784,2906.52,535.051,NaN,265.151,173.482,169.407,190.47,303.116,184.047,200.247,190.883,343.8,NaN,NaN,320.354,350.43,514.007,NaN,173.942,504.957,NaN,2492.02,122.289
11pipe_k.cnf,89315.0,5584003.0,79604.0,5548259.0,0.121991357,0.006442381,24.18,0.014347564,0.939245786,0.24261679,0.0,1.0,0.416040455,3.6075e-05,2.970654382,2.5124e-05,0.003705844,0.254164819,0.0,0.967923992,0.971648404,0.4,3.6075e-05,6.636063687,5.41e-07,0.007762075,5.232507728,0.569973188,0.28278978,0.0,1.0,4.226605472,2.4458e-05,6.463624009,0.0,0.005047529,4.954114687,0.971555401,5.3764e-05,4.06070112,5.41e-07,0.006432649,9.72,0.0,0.0,0.0,0.0,-512.0,0.0,0.0,0.0,0.0,0.0,20.58,1323.71,2662.1,NaN,873.289,2135.98,NaN,2353.8,NaN,1836.49,478.675,482.643,875.84,1836.38,1210.66,1396.58,1095.16,NaN,NaN,NaN,NaN,1211.69,1320.22,NaN,939.585,702.73,NaN,NaN,690.24
13pipe_q0_k.cnf,176066.0,5761591.0,100858.0,5603534.0,0.745682048,0.028206664,13.42,0.017998998,0.897948825,0.312084569,0.0,1.0,0.656807955,3.2032e-05,3.110022771,1.983e-05,0.003975887,0.479769889,0.0,0.925305709,0.936539334,0.4,3.2032e-05,3.888349649,1.249e-06,0.004109906,5.079426949,0.509768561,0.350061134,0.0,0.9875,3.825304396,1.8666e-05,2.999946572,0.0,0.001113761,4.92879999,0.935851554,5.2956e-05,2.535993458,1.249e-06,0.003298454,14.8,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,21.78,1230.56,1229.4,NaN,1002.78,2174.27,2345.84,1954.74,NaN,1459.03,632.409,571.94,1011.81,2273.82,985.767,909.346,817.947,1206.19,2901.49,NaN,1108.3,1584.29,NaN,NaN,1064.84,699.121,NaN,1303.71,903.477
38bits_10.dimacs.cnf,448.0,12700.0,448.0,12700.0,0.0,0.0,0.0,0.035275591,0.326501693,0.694314602,0.0,1.0,2.588577049,0.016100429,0.292954698,0.004464286,0.040178571,2.099954076,0.0,0.006692913,0.05007874,0.0,0.016100429,1.16539176,0.000708661,0.080944882,5.211915668,0.09376261,0.107242799,0.0,0.785714286,3.105171653,0.001200436,0.588438391,7.874e-05,0.003779528,3.359375129,0.103700787,0.002602995,0.40679037,0.000314961,0.005354331,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,168.597,194.44,15.8142,31.5079,520.469,7.64871,6.9236,173.963,28.5193,33.8358,47.7575,34.9287,29.2453,38.5087,48.7817,2.5347,26.9419,302.546,302.138,15.7166,9.03447,28.8459,11.3869,5.21994,5.37042,1056.35,30.7425,0.9026
40bits_10.dimacs.cnf,446.0,12980.0,446.0,12980.0,0.0,0.0,0.02,0.034360555,0.325051478,0.694805451,0.0,1.0,2.587668338,0.016223821,0.287485404,0.004484305,0.042600897,2.088378627,0.0,0.005624037,0.046533128,0.0,0.016223821,1.134491834,0.000693374,0.079198767,5.202259986,0.10359417,0.119541079,0.0,0.785714286,3.198442744,0.001150615,0.603404993,7.7042e-05,0.003697997,3.346723675,0.098844376,0.002545828,0.409844466,0.00046225,0.005238829,0.0,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.04,182.078,186.484,16.5249,10.2395,533.851,19.6033,13.891,453.44,38.2508,56.1431,0.836289,9.81008,35.5695,13.442,56.5751,11.1141,35.4775,326.317,325.999,6.31679,15.8485,29.3696,5.56992,26.2189,29.7884,1087.83,18.684,1.9058
42bits_12.dimacs.cnf,538.0,14509.0,538.0,14509.0,0.0,0.0,0.02,0.037080433,0.328695097,0.695604536,0.0,1.0,2.582674757,0.013199345,0.295388755,0.003717472,0.037174721,2.099064377,0.0,0.006961196,0.050244676,0.0,0.013199345,1.183407931,0.000689227,0.070852574,5.210225294,0.096719204,0.111240855,0.0,0.8125,3.139222409,0.000991949,0.59171933,6.8923e-05,0.0030326,3.294266325,0.104417947,0.002263945,0.410676746,0.000413536,0.004755669,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,284.068,219.022,126.881,35.3445,556.596,126.288,75.8746,1289.79,89.0736,49.798,45.6944,34.5231,88.7024,136.473,58.0916,125.176,169.496,317.171,318.188,80.4107,57.4633,50.3314,177.164,165.813,64.7277,1079.95,91.9477,136.699
44bits_11.dimacs.cnf,609.0,15417.0,609.0,15417.0,0.0,0.0,0.02,0.039501849,0.332836599,0.689219788,0.0,1.0,2.578390925,0.011497022,0.301855919,0.003284072,0.034482759,2.105693681,0.0,0.007329571,0.052928585,0.0,0.011497022,1.269805464,0.000648635,0.070117403,5.042724016,0.089389519,0.103252819,0.0,0.8,3.059680053,0.000960384,0.60631042,0.00019459,0.003308037,3.320044059,0.114743465,0.002103536,0.425230576,0.000389181,0.004799896,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.06,693.72,206.891,359.508,86.1775,637.432,211.745,270.085,3178.98,487.793,79.8202,379.145,82.9106,528.146,29.5307,292.107,244.935,43.0251,461.092,454.584,264.189,126.306,242.865,363.237,95.1489,163.391,1427.27,114.832,414.563
46bits_11.dimacs.cnf,689.0,16922.0,689.0,16922.0,0.0,0.0,0.02,0.040716227,0.337889724,0.678910299,0.0,1.0,2.575809417,0.010078257,0.304212357,0.002902758,0.031930334,2.107786278,0.0,0.006914076,0.055135327,0.0,0.010078257,1.238947456,0.000531852,0.063881338,5.160658888,0.086171816,0.101912798,0.0,0.793103448,3.029593895,0.00085237,0.596656622,0.000177284,0.002954733,3.284870824,0.115589174,0.001971481,0.415855601,0.000354568,0.004313911,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.06,968.01,943.784,67.9243,652.596,801.415,637.837,412.788,NaN,393.276,346.202,1136.22,614.953,414.206,497.58,304.034,203.713,1624.27,1029.13,1027.21,536.574,156.367,33.3642,844.582,956.228,718.014,1099.64,70.7778,342.102
46bits_12.dimacs.cnf,697.0,17080.0,697.0,17080.0,0.0,0.0,0.02,0.040807963,0.337536599,0.680842968,0.0,1.0,2.574135577,0.009949298,0.304359127,0.00286944,0.031563845,2.106091943,0.0,0.007494145,0.054859485,0.0,0.009949298,1.237600084,0.000526932,0.063290398,5.165745401,0.086698166,0.10317995,0.0,0.806451613,3.049958368,0.000821688,0.5989589,0.000175644,0.002985948,3.257577684,0.11323185,0.001954008,0.416318913,0.000351288,0.004274005,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.1,383.164,488.95,234.592,184.696,664.976,235.231,80.5607,3188.78,278.689,141.443,353.111,181.877,258.675,70.2128,260.625,227.762,380.874,604.64,593.614,132.879,55.5634,92.0064,410.633,205.944,112.376,1252.07,180.638,242.453
46bits_14.dimacs.cnf,690.0,16938.0,690.0,16938.0,0.0,0.0,0.02,0.040736805,0.338937555,0.676713351,0.0,1.0,2.576476554,0.010070231,0.303926756,0.002898551,0.031884058,2.107389257,0.0,0.006907545,0.0553194,0.0,0.010070231,1.238832955,0.00053135,0.063820994,5.177147525,0.087180996,0.104729522,0.0,0.785714286,3.03878066,0.000848619,0.604958459,0.000177117,0.002892904,3.288047755,0.115184792,0.001964026,0.419196884,0.000354233,0.004309836,0.02,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.1,900.248,349.783,176.792,1038.46,646.235,367.231,99.9485,NaN,53.1525,1126.71,967.994,992.292,56.3898,389.645,1313.09,1112.81,664.635,1135.88,988.935,933.322,159.332,262.236,1096.66,382.721,195.062,1611.97,60.0738,935.613
