Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_maxino16-c10,algo_CCEHC2akms,algo_mscg2015b,algo_Optiriss6,algo_mscg2015a,algo_LMHS-2016,algo_ahms-ls-1.70,algo_Open-WBO16,algo_WMaxSatz+,algo_WMaxSatz09,algo_maxino16-dis,algo_ahms-1.70,algo_WPM3-2015-co,algo_QMaxSAT14,algo_CCLS2akms,algo_Naps-1.02-ms,algo_QMaxSAT16UC,algo_maxhs-b
29.wcsp.log.wcnf,101.0,692.0,0.1185,245.01219,428.80453,1.0,1000.0,0.14595,0.02899,0.9279,0.00145,0.09682,0.09538,0.02899,0.33011,0.0099,0.0396,0.0297,0.67766,0.40989,0.0,0.96429,0.96429,0.69075,0.47016,0.0,1.0,1.0,0.09104,0.3237,0.65751,0.00145,0.0,0.00145,0.00145,0.0,0.1185,0.01,1.88,0.01,0.2,0.0,0.95,0.06,0.0,0.09,0.09,0.0,0.29,0.02,0.11,1.76,0.1,0.13,0.37
29180036-5408-11df-9f57-00163e7a6f5e_l1.wcnf,4531.0,25216.0,0.10093,2512.89233,7112.23389,8.0,85972.0,0.17969,0.0005,3.73835,8e-05,0.07384,0.07376,0.0005,0.42602,0.00022,0.01104,0.01081,0.48718,0.39332,0.02326,1.0,0.97674,0.56048,0.47979,0.0,1.0,1.0,0.19349,0.59014,0.98386,0.00021,0.0,4e-05,0.0144,0.01436,0.56409,0.27,NaN,0.91,14.74,0.45,0.3,NaN,0.62,NaN,NaN,0.44,NaN,3.3,68.68,NaN,NaN,61.82,0.2
29180036-5408-11df-9f57-00163e7a6f5e_l2.wcnf,4545.0,26734.0,0.09531,2510.13306,7108.49463,8.0,85972.0,0.17001,0.00048,3.63999,7e-05,0.06969,0.06961,0.00048,0.44673,0.00022,0.011,0.01078,0.54179,0.3878,0.02326,1.0,0.97674,0.58485,0.47913,0.0,1.0,1.0,0.23842,0.61289,0.98474,0.00021,0.0,4e-05,0.01358,0.01354,0.58828,0.27,NaN,0.94,14.82,0.45,0.29,NaN,0.61,NaN,NaN,0.44,NaN,3.13,57.23,NaN,NaN,61.87,0.2
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l1.wcnf,11237.0,67515.0,0.10753,2790.03735,10067.46387,4.0,255320.0,0.16644,0.00023,5.63906,3e-05,0.07169,0.07166,0.00023,0.48929,9e-05,0.00632,0.00623,0.46377,0.43306,0.025,1.0,0.975,0.55091,0.57051,0.0,1.0,1.0,0.18544,0.50891,0.74034,7e-05,0.0,1e-05,0.00946,0.00945,0.47641,1.9,NaN,12.84,150.57,6.29,3.0,NaN,4.66,NaN,NaN,3.06,NaN,16.98,1344.27,NaN,NaN,1334.44,1.08
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l2.wcnf,14193.0,84489.0,0.09892,2801.81152,9874.93555,4.0,255320.0,0.16799,0.00018,5.96626,2e-05,0.06603,0.06601,0.00018,0.50005,7e-05,0.00634,0.00627,0.4991,0.42135,0.02381,1.0,0.97619,0.56353,0.56897,0.0,1.0,1.0,0.20558,0.49959,0.74407,5e-05,0.0,1e-05,0.00759,0.00757,0.47064,2.02,NaN,16.85,193.16,7.31,3.93,NaN,4.76,NaN,NaN,3.84,NaN,17.63,1707.74,NaN,NaN,1751.48,1.12
3e4f8550-0b33-11df-942d-00163e1d94dc_l1.wcnf,1243.0,6248.0,0.16133,1860.23914,6999.61133,12.0,80864.0,0.19894,0.00193,1.71078,0.00032,0.07298,0.07266,0.00193,0.66555,0.0008,0.03781,0.03701,0.40382,0.60788,0.025,0.99781,0.97281,0.38519,0.79298,0.0,1.0,1.0,0.16293,0.73031,0.7985,0.00104,0.0,0.0,0.07282,0.07282,0.73031,0.12,171.0,0.61,0.65,0.16,1.23,5.06,0.13,370.81,375.43,0.16,5.29,0.89,1.34,NaN,781.94,1.57,0.88
3e4f8550-0b33-11df-942d-00163e1d94dc_l2.wcnf,1243.0,6248.0,0.16133,1860.23914,6999.61133,12.0,80864.0,0.19894,0.00193,1.71078,0.00032,0.07298,0.07266,0.00193,0.66555,0.0008,0.03781,0.03701,0.40382,0.60788,0.025,0.99781,0.97281,0.38519,0.79298,0.0,1.0,1.0,0.16293,0.73031,0.7985,0.00104,0.0,0.0,0.07282,0.07282,0.73031,0.11,167.67,0.6,0.63,0.16,1.23,4.98,0.13,374.05,376.22,0.16,5.01,0.9,1.3,NaN,749.93,1.49,0.88
404.wcsp.dir.wcnf,187.0,1066.0,0.09381,1.63,0.4828,1.0,2.0,0.17542,0.01057,0.74596,0.00188,0.03002,0.02814,0.01057,0.23665,0.00535,0.02139,0.01604,0.48794,0.73003,0.04167,0.96875,0.92708,0.5272,0.70087,0.0,1.0,1.0,0.09381,0.95591,0.9728,0.00687,0.7976,0.00094,0.02158,0.02064,0.68949,0.02,NaN,0.02,0.09,0.01,7.17,419.99,0.01,NaN,NaN,0.01,992.37,0.03,0.03,NaN,0.21,0.03,0.05
404.wcsp.log.wcnf,129.0,1037.0,0.09643,1.63,0.4828,1.0,2.0,0.1244,0.02118,0.61305,0.00289,0.05593,0.05304,0.02118,0.30063,0.00775,0.03101,0.02326,0.79148,0.19216,0.5,0.96875,0.46875,0.76631,0.40469,0.0,1.0,1.0,0.06847,0.3703,0.82932,0.00096,0.0,0.00096,0.00096,0.0,0.09643,0.01,871.57,0.02,0.18,0.01,6.65,1278.29,0.04,NaN,NaN,0.01,1311.29,0.03,0.04,860.62,0.19,0.04,0.31
408.wcsp.dir.wcnf,392.0,3213.0,0.06225,46.55,206.96817,1.0,1000.0,0.122,0.00535,0.77998,0.00031,0.02085,0.02054,0.00535,0.23979,0.00255,0.0102,0.00765,0.4593,0.83645,0.0,0.98507,0.98507,0.52013,0.66359,0.0,1.0,1.0,0.06225,0.85901,0.98008,0.00355,0.0,0.00031,0.0112,0.01089,0.69312,0.12,NaN,0.07,8.05,0.06,NaN,NaN,0.1,NaN,NaN,0.09,NaN,0.17,0.29,NaN,7.13,0.27,0.81
408.wcsp.log.wcnf,264.0,3149.0,0.06351,46.55,206.96817,1.0,1000.0,0.08384,0.01135,0.60881,0.00032,0.02953,0.02922,0.01135,0.32067,0.00379,0.02273,0.01894,0.80488,0.2175,0.0,0.98507,0.98507,0.77795,0.34873,0.0,1.0,1.0,0.04319,0.30105,0.73071,0.00032,0.0,0.00032,0.00032,0.0,0.06351,0.26,NaN,0.08,NaN,0.15,NaN,NaN,5.14,NaN,NaN,0.09,NaN,8.17,0.48,NaN,3.85,0.51,16.85
412.wcsp.dir.wcnf,666.0,7396.0,0.04056,161.61,365.90497,1.0,1000.0,0.09005,0.00307,0.77481,0.00027,0.01176,0.01149,0.00307,0.19383,0.0015,0.00601,0.0045,0.3866,0.98987,0.01639,0.98851,0.97211,0.41315,0.84543,0.0,1.0,1.0,0.04056,0.93091,0.9835,0.00241,0.0,0.00014,0.00811,0.00798,0.80706,0.15,NaN,0.15,24.42,0.11,NaN,NaN,0.24,NaN,NaN,0.17,NaN,0.6,4.3,NaN,13.31,4.36,6.08
412.wcsp.log.wcnf,422.0,7274.0,0.04124,161.61,365.90497,1.0,1000.0,0.05801,0.00751,0.58752,0.00055,0.02021,0.01966,0.00751,0.26348,0.00237,0.01422,0.01185,0.79135,0.20753,0.34426,0.98851,0.64424,0.76402,0.33748,0.0,1.0,1.0,0.02447,0.19673,0.64215,0.00014,0.0,0.00014,0.00014,0.0,0.04124,0.17,NaN,0.15,519.84,0.11,NaN,NaN,36.36,NaN,NaN,0.12,NaN,5.94,8.44,NaN,18.43,7.38,267.01
414.wcsp.dir.wcnf,856.0,14703.0,0.02476,166.47803,370.30386,1.0,1000.0,0.05822,0.00271,1.31908,0.00014,0.01884,0.0187,0.00271,0.23187,0.00117,0.00467,0.0035,0.35609,1.05795,0.00361,0.99614,0.99253,0.33442,0.95768,0.0,1.0,1.0,0.02476,0.66789,0.98885,0.0023,1.40699,7e-05,0.01857,0.0185,0.8569,0.43,NaN,0.2,114.02,0.11,NaN,NaN,0.23,NaN,NaN,0.18,NaN,0.78,10.8,NaN,23.51,11.71,30.7
414.wcsp.log.wcnf,528.0,14539.0,0.02504,166.47803,370.30386,1.0,1000.0,0.03632,0.00729,0.84277,0.00014,0.02387,0.02373,0.00729,0.31301,0.00189,0.01136,0.00947,0.78179,0.267,0.12186,0.99614,0.87428,0.7481,0.29139,0.0,1.0,1.0,0.01376,0.11363,0.4252,7e-05,0.0,7e-05,7e-05,0.0,0.02504,0.48,NaN,0.22,NaN,0.32,NaN,NaN,48.28,NaN,NaN,0.2,NaN,24.47,20.49,NaN,17.45,18.3,379.62
42.wcsp.dir.wcnf,361.0,2073.0,0.09165,1384.82629,763.05884,1.0,2000.0,0.17414,0.00552,0.79384,0.00048,0.02219,0.02171,0.00552,0.24178,0.00277,0.01108,0.00831,0.43566,0.81433,0.0,1.0,1.0,0.32296,1.20854,0.0,1.0,1.0,0.09165,0.94163,0.9725,0.00422,1.01121,0.0,0.02026,0.02026,0.79788,5.47,NaN,1.38,63.76,1.07,NaN,NaN,2.85,NaN,NaN,0.47,NaN,0.58,13.13,NaN,7.77,9.71,4.3
42.wcsp.log.wcnf,247.0,2016.0,0.09425,1384.82629,763.05884,1.0,2000.0,0.12252,0.0129,0.87746,0.0005,0.03671,0.03621,0.0129,0.3099,0.00405,0.02024,0.01619,0.71929,0.28117,0.0,0.97826,0.97826,0.6662,0.44499,0.0,1.0,1.0,0.06597,0.26091,0.50546,0.0005,0.0,0.0005,0.0005,0.0,0.09425,4.15,NaN,4.5,NaN,6.85,NaN,NaN,37.51,NaN,NaN,5.1,NaN,11.47,9.56,NaN,13.17,10.98,NaN
4a69cf16-c731-11df-9182-00163e3d3b7c_l1.wcnf,811.0,3975.0,0.16277,1595.8949,3169.17969,20.0,38308.0,0.20403,0.00306,1.68008,0.0005,0.12704,0.12654,0.00306,0.45799,0.00123,0.0111,0.00986,0.47499,0.48461,0.04762,0.99802,0.9504,0.43033,0.74242,0.0,1.0,1.0,0.16755,0.62541,0.77082,0.00132,3.3877,0.00025,0.12679,0.12654,0.62063,0.08,248.28,0.21,0.63,0.07,0.08,29.5,0.07,NaN,NaN,0.12,31.25,0.23,5.03,NaN,NaN,4.76,0.17
4a69cf16-c731-11df-9182-00163e3d3b7c_l2.wcnf,13023.0,79735.0,0.1126,3030.32397,11017.91992,4.0,392344.0,0.16333,0.0002,4.56163,1e-05,0.07358,0.07357,0.0002,0.4968,8e-05,0.00722,0.00714,0.41826,0.55163,0.01667,1.0,0.98333,0.51216,0.58398,0.0,1.0,1.0,0.15041,0.52973,0.70211,7e-05,0.0,1e-05,0.07357,0.07356,0.52949,7.39,NaN,42.5,358.08,17.03,11.1,NaN,9.82,NaN,NaN,11.6,NaN,26.44,NaN,NaN,NaN,NaN,18.09
4ede8d96-c17a-11df-a7c5-00163e3d3b7c_l1.wcnf,598.0,2772.0,0.16775,1566.39783,3495.20117,20.0,31156.0,0.21573,0.00388,1.56841,0.00072,0.12734,0.12662,0.00388,0.42777,0.00167,0.01338,0.01171,0.45113,0.50953,0.04167,0.99717,0.9555,0.4113,0.74832,0.0,1.0,1.0,0.17208,0.67821,0.86291,0.00195,2.72373,0.00036,0.12698,0.12662,0.66811,0.05,278.87,0.14,0.68,0.04,0.27,3.52,0.08,NaN,NaN,0.07,3.59,0.2,5.96,396.03,NaN,11.42,0.18
5.wcsp.dir.wcnf,1059.0,14908.0,0.02073,1.21683,0.66457,1.0,5.0,0.07104,0.00192,0.83805,7e-05,0.01046,0.0104,0.00192,0.16359,0.00094,0.00378,0.00283,0.21646,1.27572,0.00641,1.0,0.99359,0.06028,3.42977,0.0,1.0,1.0,0.02073,0.95861,0.98323,0.00182,0.0,0.0,0.0104,0.0104,0.9617,NaN,NaN,597.35,NaN,689.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.76,7.62,NaN,73.44,6.17,NaN
5.wcsp.log.wcnf,559.0,14658.0,0.02108,1.21683,0.66457,1.0,5.0,0.03814,0.00699,0.63913,7e-05,0.01521,0.01515,0.00699,0.11972,0.00179,0.00894,0.00716,0.6796,0.18912,0.0,0.99375,0.99375,0.66598,0.37816,0.0,1.0,1.0,0.00403,0.0382,0.07259,7e-05,0.0,7e-05,7e-05,0.0,0.02108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.61,NaN,378.23,108.99,NaN
503.wcsp.dir.wcnf,317.0,992.0,0.14415,141.32169,346.25342,1.0,1000.0,0.31956,0.0065,0.65136,0.00101,0.03024,0.02923,0.0065,0.32975,0.00315,0.01262,0.00946,0.42777,0.70532,0.05556,1.0,0.94444,0.39365,0.97762,0.0,1.0,1.0,0.14415,0.85484,0.94153,0.00453,0.80482,0.0,0.02218,0.02218,0.76109,0.01,NaN,0.02,0.04,0.01,0.38,NaN,0.0,NaN,NaN,0.01,NaN,0.02,0.36,NaN,0.58,0.31,0.15
503.wcsp.log.wcnf,201.0,934.0,0.1531,141.32169,346.25342,1.0,1000.0,0.2152,0.01513,0.52454,0.00214,0.04069,0.03854,0.01513,0.36531,0.00498,0.02985,0.02488,0.7307,0.19601,0.46667,0.96667,0.5,0.67482,0.50994,0.0,1.0,1.0,0.09101,0.31478,0.6349,0.00107,0.0,0.00107,0.00107,0.0,0.1531,0.01,NaN,0.02,0.05,0.01,0.4,NaN,0.01,NaN,NaN,0.01,NaN,0.02,0.43,NaN,0.52,0.42,0.16
505.wcsp.dir.wcnf,552.0,3536.0,0.06787,143.1375,348.11182,1.0,1000.0,0.15611,0.00388,0.82538,0.00057,0.02319,0.02262,0.00388,0.26221,0.00181,0.00725,0.00543,0.3871,0.90741,0.0122,0.98361,0.97141,0.3907,0.90323,0.0,1.0,1.0,0.06787,0.82183,0.97059,0.00294,0.0,0.00028,0.02291,0.02262,0.79468,0.08,NaN,0.1,0.36,0.04,NaN,NaN,0.07,NaN,NaN,0.07,NaN,0.17,2.46,NaN,4.13,2.79,3.17
505.wcsp.log.wcnf,344.0,3432.0,0.06993,143.1375,348.11182,1.0,1000.0,0.10023,0.00967,0.57599,0.00058,0.02972,0.02914,0.00967,0.32232,0.00291,0.01744,0.01453,0.76852,0.2235,0.28889,0.98361,0.69472,0.7327,0.37829,0.0,1.0,1.0,0.03963,0.20396,0.57255,0.00029,0.0,0.00029,0.00029,0.0,0.06993,1.35,NaN,0.09,468.52,0.07,NaN,NaN,3.71,NaN,NaN,0.06,NaN,2.52,3.28,NaN,5.7,3.61,NaN
507.wcsp.dir.wcnf,704.0,8280.0,0.03756,136.74277,341.10745,1.0,1000.0,0.08502,0.00323,1.23644,0.00024,0.02754,0.02729,0.00323,0.24293,0.00142,0.00568,0.00426,0.38143,0.98344,0.00439,0.99398,0.98959,0.38412,0.87456,0.0,1.0,1.0,0.03756,0.70725,0.98418,0.00255,1.3489,0.00012,0.02645,0.02633,0.80688,0.21,NaN,0.19,13.5,0.09,NaN,NaN,0.18,NaN,NaN,0.12,NaN,0.79,5.21,NaN,24.9,5.38,17.15
507.wcsp.log.wcnf,442.0,8149.0,0.03816,136.74277,341.10745,1.0,1000.0,0.05424,0.00821,0.82766,0.00025,0.03387,0.03362,0.00821,0.32985,0.00226,0.01357,0.01131,0.78603,0.25607,0.1685,0.99398,0.82548,0.74919,0.31578,0.0,1.0,1.0,0.02209,0.1599,0.49748,0.00012,0.0,0.00012,0.00012,0.0,0.03816,0.43,NaN,0.22,NaN,0.12,NaN,NaN,3.91,NaN,NaN,0.14,NaN,14.12,7.88,NaN,31.61,9.31,NaN
